"","nuB","nuF","TB","TF","nuF_scaled_dip_fixtheta","TF_scaled_gen_fixtheta","LL_model","LL_data","LL_diff"
"1",1.45113705136,1e-04,0.134225802901809,1e-05,1.64787516654398,0.329575033308796,-341775.178602997,-147.838757443416,-341587.827946894
"2",1.45113705136,0.000110520985150523,0.134225802901809,1e-05,1.82124786811524,0.329575033308796,-303661.389684546,-147.838757443416,-303474.039028443
"3",1.45113705136,0.000122148881586422,0.134225802901809,1e-05,2.01286108587386,0.329575033308796,-268429.112776461,-147.838757443416,-268241.762120358
"4",1.45113705136,0.00013500014727966,0.134225802901809,1e-05,2.22463390181931,0.329575033308796,-236138.35138897,-147.838757443416,-235951.000732867
"5",1.45113705136,0.000149203492728137,0.134225802901809,1e-05,2.45868730428323,0.329575033308796,-206679.541098748,-147.838757443416,-206492.190442645
"6",1.45113705136,0.000164901170042127,0.134225802901809,1e-05,2.71736543046467,0.329575033308796,-180010.692565946,-147.838757443416,-179823.341909843
"7",1.45113705136,0.000182250397655298,0.134225802901809,1e-05,3.00325904388932,0.329575033308796,-156071.061628563,-147.838757443416,-155883.71097246
"8",1.45113705136,0.000201424934929382,0.134225802901809,1e-05,3.31923148192866,0.329575033308796,-134637.490814803,-147.838757443416,-134450.1401587
"9",1.45113705136,0.000222616822422753,0.134225802901809,1e-05,3.66844733325387,0.329575033308796,-115486.252796364,-147.838757443416,-115298.902140261
"10",1.45113705136,0.000246038305252418,0.134225802901809,1e-05,4.05440413244028,0.329575033308796,-98549.4740309767,-147.838757443416,-98362.1233748737
"11",1.45113705136,0.000271923958812624,0.134225802901809,1e-05,4.48096738915652,0.329575033308796,-83694.0103866763,-147.838757443416,-83506.6597305732
"12",1.45113705136,0.000300533038140016,0.134225802901809,1e-05,4.95240930276947,0.329575033308796,-70731.2921570906,-147.838757443416,-70543.9415009876
"13",1.45113705136,0.000332152074455144,0.134225802901809,1e-05,5.47345155010699,0.329575033308796,-59436.5784666136,-147.838757443416,-59249.2278105106
"14",1.45113705136,0.000367097744885724,0.134225802901809,1e-05,6.04931257491483,0.329575033308796,-49572.9348597866,-147.838757443416,-49385.5842036836
"15",1.45113705136,0.000405720044113057,0.134225802901809,1e-05,6.68575985263036,0.329575033308796,-41149.8344840219,-147.838757443416,-40962.4838279188
"16",1.45113705136,0.000448405789706889,0.134225802901809,1e-05,7.38916765392525,0.329575033308796,-34026.9119631429,-147.838757443416,-33839.5613070399
"17",1.45113705136,0.000495582496256038,0.134225802901809,1e-05,8.166580885542,0.329575033308796,-27769.3321954273,-147.838757443416,-27581.9815393242
"18",1.45113705136,0.000547722657095728,0.134225802901809,1e-05,9.02578564781535,0.329575033308796,-22733.3117834417,-147.838757443416,-22545.9611273387
"19",1.45113705136,0.000605348476514821,0.134225802901809,1e-05,9.97538721554007,0.329575033308796,-18306.7368745833,-147.838757443416,-18119.3862184802
"20",1.45113705136,0.000669037099837865,0.134225802901809,1e-05,11.0248962231942,0.329575033308796,-14722.5956687105,-147.838757443416,-14535.2450126075
"21",1.45113705136,0.000739426393763299,0.134225802901809,1e-05,12.1848239176971,0.329575033308796,-11739.3219410184,-147.838757443416,-11551.9712849153
"22",1.45113705136,0.000817221334850185,0.134225802901809,1e-05,13.4667874326954,0.329575033308796,-9165.72263143479,-147.838757443416,-8978.37197533174
"23",1.45113705136,0.000903201070136682,0.134225802901809,1e-05,14.8836261387419,0.329575033308796,-7194.80170783686,-147.838757443416,-7007.45105173381
"24",1.45113705136,0.000998226720605131,0.134225802901809,1e-05,16.4495302346583,0.329575033308796,-5580.99813652696,-147.838757443416,-5393.64748042391
"25",1.45113705136,0.00110325000564855,0.134225802901809,1e-05,18.1801828679776,0.329575033308796,-4235.61353373231,-147.838757443416,-4048.26287762925
"26",1.45113705136,0.00121932277491598,0.134225802901809,1e-05,20.0929172078555,0.329575033308796,-3131.12022086716,-147.838757443416,-2943.76956476411
"27",1.45113705136,0.00134760754300184,0.134225802901809,1e-05,22.2068900436009,0.329575033308796,-2326.96175168501,-147.838757443416,-2139.61109558196
"28",1.45113705136,0.0014893891324884,0.134225802901809,1e-05,24.5432736474812,0.329575033308796,-1709.5149039753,-147.838757443416,-1522.16424787225
"29",1.45113705136,0.00164608754195101,0.134225802901809,1e-05,27.125467823385,0.329575033308796,-1225.17540983658,-147.838757443416,-1037.82475373353
"30",1.45113705136,0.00181927216780429,0.134225802901809,1e-05,29.9793342650933,0.329575033308796,-855.137200057448,-147.838757443416,-667.786543954397
"31",1.45113705136,0.00201067752242659,0.134225802901809,1e-05,33.1334555713495,0.329575033308796,-582.532022667234,-147.838757443416,-395.181366564182
"32",1.45113705136,0.002222220605986,0.134225802901809,1e-05,36.6194215118664,0.329575033308796,-392.320814849867,-147.838757443416,-204.970158746815
"33",1.45113705136,0.00245602010595366,0.134225802901809,1e-05,40.4721454113375,0.329575033308796,-271.191089125175,-147.838757443416,-83.8404330221238
"34",1.45113705136,0.00271441761659491,0.134225802901809,1e-05,44.7302138201625,0.329575033308796,-211.446151545737,-147.838757443416,-24.0954954426852
"35",1.45113705136,0.00300000109096005,0.134225802901809,1e-05,49.4362729739791,0.329575033308796,-188.535950984166,-147.838757443416,-1.1852948811138
"36",1.45113705136,0.00331563076025549,0.134225802901809,1e-05,54.6374559125436,0.329575033308796,-193.198760492203,-147.838757443416,-5.84810438915156
"37",1.45113705136,0.00366446778018815,0.134225802901809,1e-05,60.385854535726,0.329575033308796,-219.360593367601,-147.838757443416,-32.0099372645491
