"","parent","node","branch.length","label","isTip","x","y","branch","angle","SpeciesId","PopId","SubPopId","boot_strap_support","nodebt"
"46",92,46,493.744932432432,"GOC082",TRUE,1181.68721497973,13,934.814748763513,86.6666666666667,"BalPhy","GOC","GOC",NA,NA
"47",100,47,465.555555555556,"GOC086",TRUE,1190.04416680986,7,957.266389032081,46.6666666666667,"BalPhy","GOC","GOC",NA,NA
"48",97,48,492.311011904762,"GOC091",TRUE,1195.600499027,18,949.444993074616,120,"BalPhy","GOC","GOC",NA,NA
"49",101,49,460.376358695652,"GOC100",TRUE,1186.10599409951,11,955.91781475168,73.3333333333333,"BalPhy","GOC","GOC",NA,NA
"50",103,50,372.4921875,"GOC111",TRUE,1176.30183525133,21,990.055741501335,140,"BalPhy","GOC","GOC",NA,NA
"51",95,51,478.228125,"GOC112",TRUE,1174.71793263506,19,935.603870135056,126.666666666667,"BalPhy","GOC","GOC",NA,NA
"52",100,52,451.444444444444,"GOC116",TRUE,1175.93305569875,8,950.210833476526,53.3333333333333,"BalPhy","GOC","GOC",NA,NA
"53",99,53,491.582386363636,"GOC125",TRUE,1201.90671256173,16,956.115519379908,106.666666666667,"BalPhy","GOC","GOC",NA,NA
"54",105,54,275.9825,"MegNov01",TRUE,359.799019607843,4,221.807769607843,26.6666666666667,"MegNov","MegNov","MegNov",NA,NA
"55",55,55,0,"Root",FALSE,0,2.77195739746094,0,18.4797159830729,NA,NA,NA,NA,NA
"56",57,56,0.658507347106934,"1000",FALSE,724.601908521932,49.6875,724.272654848378,331.25,NA,NA,NA,"1000","1000"
"57",58,57,1.37470149993896,"2",FALSE,723.943401174825,47.21875,723.256050424856,314.791666666667,NA,NA,NA,"2",NA
"58",59,58,1.97950871785482,"0",FALSE,722.568699674886,44.484375,721.578945315959,296.5625,NA,NA,NA,"0",NA
"59",60,59,1.88112831115723,"0",FALSE,720.589190957031,41.1796875,719.648626801453,274.53125,NA,NA,NA,"0",NA
"60",62,60,3.34684448242187,"0",FALSE,718.708062645874,36.43359375,717.034640404663,242.890625,NA,NA,NA,"0",NA
"61",60,61,1.5450927734375,"1",FALSE,720.253155419311,31.6875,719.480609032593,211.25,NA,NA,NA,"1",NA
"62",74,62,17.0536455426897,"2",FALSE,715.361218163452,31.591796875,706.834395392107,210.611979166667,NA,NA,NA,"2",NA
"63",58,63,4.21308771769206,"36",FALSE,726.781787392578,41.75,724.675243533732,278.333333333333,NA,NA,NA,"36",NA
"64",56,64,6.34558963775635,"74",FALSE,730.947498159688,47.75,727.77470334081,318.333333333333,NA,NA,NA,"74",NA
"65",61,65,4.76614888509115,"5",FALSE,725.019304304403,33.625,722.636229861857,224.166666666667,NA,NA,NA,"5",NA
"66",59,66,11.0410976409912,"17",FALSE,731.630288598022,37.875,726.109739777527,252.5,NA,NA,NA,"17",NA
"67",56,67,11.4981603622437,"11",FALSE,736.100068884176,51.625,730.350988703054,344.166666666667,NA,NA,NA,"11",NA
"68",67,68,2.28402201334635,"48",FALSE,738.384090897522,52.75,737.242079890849,351.666666666667,NA,NA,NA,"48",NA
"69",57,69,11.8258676528931,"27",FALSE,735.769268827718,44.75,729.856335001272,298.333333333333,NA,NA,NA,"27",NA
"70",65,70,7.12431640625,"53",FALSE,732.143620710653,34.75,728.581462507528,231.666666666667,NA,NA,NA,"53",NA
"71",61,71,14.2026011149089,"158",FALSE,734.45575653422,29.75,727.354455976766,198.333333333333,NA,NA,NA,"158",NA
"72",62,72,12.4347577776228,"67",FALSE,727.795975941075,26.75,721.578597052263,178.333333333333,NA,NA,NA,"67",NA
"73",66,73,5.09173029119319,"115",FALSE,736.722018889216,38.75,734.176153743619,258.333333333333,NA,NA,NA,"115",NA
"74",82,74,13.9557077508223,"227",FALSE,698.307572620762,28.2958984375,691.329718745351,188.639322916667,NA,NA,NA,"227",NA
"75",67,75,11.2159779866536,"243",FALSE,747.316046870829,50.5,741.708057877502,336.666666666667,NA,NA,NA,"243",NA
"76",69,76,7.85467529296875,"156",FALSE,743.623944120687,45.5,739.696606474202,303.333333333333,NA,NA,NA,"156",NA
"77",68,77,10.047353891226,"235",FALSE,748.431444788748,53.5,743.407767843135,356.666666666667,NA,NA,NA,"235",NA
"78",70,78,13.7461751302083,"283",FALSE,745.889795840861,35.5,739.016708275757,236.666666666667,NA,NA,NA,"283",NA
"79",65,79,23.12568359375,"296",FALSE,748.144987898153,32.5,736.582146101278,216.666666666667,NA,NA,NA,"296",NA
"80",72,80,16.3428380629596,"375",FALSE,744.138814004034,27.5,735.967394972555,183.333333333333,NA,NA,NA,"375",NA
"81",63,81,23.9307861328125,"479",FALSE,750.712573525391,42.5,738.747180458984,283.333333333333,NA,NA,NA,"479",NA
"82",86,82,75.16162109375,"418",FALSE,684.35186486994,26.14794921875,646.771054323065,174.319661458333,NA,NA,NA,"418",NA
"83",73,83,23.6810709635417,"476",FALSE,760.403089852757,39.5,748.562554370987,263.333333333333,NA,NA,NA,"476",NA
"84",64,84,56.0321587456597,"952",FALSE,786.979656905348,48.5,758.963577532518,323.333333333333,NA,NA,NA,"952","952"
"85",71,85,71.5546188354492,"977",FALSE,806.01037536967,30.5,770.233065951945,203.333333333333,NA,NA,NA,"977","977"
"86",105,86,525.373724168347,"1000",FALSE,609.19024377619,18.351318359375,346.503381692017,122.342122395833,NA,NA,NA,"1000","1000"
"87",86,87,65.3179262222782,"1000",FALSE,674.508169998468,10.5546875,641.849206887329,70.3645833333333,NA,NA,NA,"1000","1000"
"88",87,88,2.28128051757812,"9",FALSE,676.789450516046,14.046875,675.648810257257,93.6458333333333,NA,NA,NA,"9",NA
"89",87,89,6.71237182617188,"39",FALSE,681.22054182464,7.0625,677.864355911554,47.0833333333333,NA,NA,NA,"39",NA
"90",88,90,6.06591796875,"37",FALSE,682.855368484796,15.59375,679.822409500421,103.958333333333,NA,NA,NA,"37",NA
"91",90,91,3.84536830357143,"41",FALSE,686.700736788368,17.1875,684.778052636582,114.583333333333,NA,NA,NA,"41",NA
"92",88,92,11.15283203125,"204",FALSE,687.942282547296,12.5,682.365866531671,83.3333333333333,NA,NA,NA,"204",NA
"93",89,93,9.03225528492647,"154",FALSE,690.252797109567,8.625,685.736669467103,57.5,NA,NA,NA,"154",NA
"94",91,94,4.68891059027778,"41",FALSE,691.389647378646,18.875,689.045192083507,125.833333333333,NA,NA,NA,"41",NA
"95",94,95,5.10016025641026,"115",FALSE,696.489807635056,20.25,693.939727506851,135,NA,NA,NA,"115",NA
"96",93,96,10.1391858552632,"328",FALSE,700.39198296483,9.75,695.322390037198,65,NA,NA,NA,"328",NA
"97",94,97,11.8998397435897,"421",FALSE,703.289487122235,17.5,697.33956725044,116.666666666667,NA,NA,NA,"421",NA
"98",95,98,11.271875,"544",FALSE,707.761682635056,21.5,702.125745135056,143.333333333333,NA,NA,NA,"544",NA
"99",91,99,23.6235894097222,"780",FALSE,710.32432619809,15.5,698.512531493229,103.333333333333,NA,NA,NA,"780","780"
"100",93,100,34.2358141447368,"908",FALSE,724.488611254303,7.5,707.370704181935,50,NA,NA,NA,"908","908"
"101",96,101,25.3376524390244,"828",FALSE,725.729635403854,10.5,713.060809184342,70,NA,NA,NA,"828","828"
"102",89,102,97.0927447150735,"1000",FALSE,778.313286539714,5.5,729.766914182177,36.6666666666667,NA,NA,NA,"1000","1000"
"103",98,103,96.0479651162791,"1000",FALSE,803.809647751335,20.5,755.785665193195,136.666666666667,NA,NA,NA,"1000","1000"
"104",98,104,140.452034883721,"1000",FALSE,848.213717518777,22.5,777.987700076916,150,NA,NA,NA,"1000","1000"
"105",106,105,40.5175,"1000",FALSE,83.8165196078431,11.1756591796875,63.5577696078431,74.50439453125,NA,NA,NA,"1000","1000"
"106",107,106,43.2990196078431,"999",FALSE,43.2990196078431,7.08782958984375,21.6495098039216,47.252197265625,NA,NA,NA,"999","999"
"107",55,107,0,"999",FALSE,0,4.54391479492188,0,30.2927652994792,NA,NA,NA,"999","999"
