"","K","meancv","sdcv"
"1",1,0.620366,0.000757146690616206
"2",2,0.776277,0.00649567043841084
"3",3,0.971001,0.0249660598279611
"4",4,1.187949,0.0264474436697891
"5",5,1.435096,0.0342131473104841
"6",6,1.691767,0.0222271345931549
