"","SampleId","PopId","SubPopId","MutType","variable","value"
"83","GOC086","GOC","GOC","MODERATE","Homozygous Derived",7261.61265887769
"84","GOC091","GOC","GOC","MODERATE","Homozygous Derived",7042.2300296955
"85","GOC100","GOC","GOC","MODERATE","Homozygous Derived",7109.11681548115
"86","GOC112","GOC","GOC","MODERATE","Homozygous Derived",7223.96266891779
"87","GOC116","GOC","GOC","MODERATE","Homozygous Derived",7397.38704968338
"88","GOC125","GOC","GOC","MODERATE","Homozygous Derived",6777.67121072127
"89","ENPAK19","ENP","AK","LOW","Homozygous Derived",7483.2471457034
"90","ENPAK20","ENP","AK","LOW","Homozygous Derived",7500.65527340325
"91","ENPAK21","ENP","AK","LOW","Homozygous Derived",7303.08524873114
"92","ENPAK22","ENP","AK","LOW","Homozygous Derived",7491.59349537594
"93","ENPAK23","ENP","AK","LOW","Homozygous Derived",7598.30225495672
"94","ENPAK24","ENP","AK","LOW","Homozygous Derived",7459.59912027842
"95","ENPAK25","ENP","AK","LOW","Homozygous Derived",7506.98075568006
"96","ENPAK26","ENP","AK","LOW","Homozygous Derived",7580.78293750655
"97","ENPAK27","ENP","AK","LOW","Homozygous Derived",7546.86035324399
"98","ENPAK28","ENP","AK","LOW","Homozygous Derived",7545.90622241836
"99","ENPAK29","ENP","AK","LOW","Homozygous Derived",7507.6961170705
"100","ENPAK30","ENP","AK","LOW","Homozygous Derived",7627.14797902632
"101","ENPBC16","ENP","BC","LOW","Homozygous Derived",7462.46906516017
"102","ENPBC17","ENP","BC","LOW","Homozygous Derived",7439.67054439348
"103","ENPBC18","ENP","BC","LOW","Homozygous Derived",7485.7902847042
"104","ENPCA02","ENP","CA","LOW","Homozygous Derived",7473.96025654324
"105","ENPCA03","ENP","CA","LOW","Homozygous Derived",7468.92835602863
"106","ENPCA04","ENP","CA","LOW","Homozygous Derived",7651.22909215232
"107","ENPCA05","ENP","CA","LOW","Homozygous Derived",7707.596571493
"108","ENPCA06","ENP","CA","LOW","Homozygous Derived",7544.47468251939
"109","ENPCA07","ENP","CA","LOW","Homozygous Derived",7517.41429988202
"110","ENPCA08","ENP","CA","LOW","Homozygous Derived",7622.294892612
"111","ENPOR10","ENP","OR","LOW","Homozygous Derived",7465.45423809849
"112","ENPOR11","ENP","OR","LOW","Homozygous Derived",7443.08367793308
"113","ENPOR13","ENP","OR","LOW","Homozygous Derived",7330.7332431325
"114","ENPWA14","ENP","WA","LOW","Homozygous Derived",7336.3206239391
"115","ENPWA15","ENP","WA","LOW","Homozygous Derived",7491.47434875517
"116","GOC002","GOC","GOC","LOW","Homozygous Derived",9880.27870734071
"117","GOC006","GOC","GOC","LOW","Homozygous Derived",9264.55927460697
"118","GOC025","GOC","GOC","LOW","Homozygous Derived",9552.47677625772
"119","GOC038","GOC","GOC","LOW","Homozygous Derived",9436.20531740754
"120","GOC050","GOC","GOC","LOW","Homozygous Derived",9384.19690506599
"121","GOC053","GOC","GOC","LOW","Homozygous Derived",9443.12846886298
"122","GOC063","GOC","GOC","LOW","Homozygous Derived",9290.41355716107
"123","GOC068","GOC","GOC","LOW","Homozygous Derived",9543.64530039594
"124","GOC071","GOC","GOC","LOW","Homozygous Derived",9470.81145448901
"125","GOC077","GOC","GOC","LOW","Homozygous Derived",9429.55905871309
"126","GOC082","GOC","GOC","LOW","Homozygous Derived",9451.37585127843
"127","GOC086","GOC","GOC","LOW","Homozygous Derived",9669.47098822562
"128","GOC091","GOC","GOC","LOW","Homozygous Derived",9575.87486573119
"129","GOC100","GOC","GOC","LOW","Homozygous Derived",9645.39283991039
"130","GOC112","GOC","GOC","LOW","Homozygous Derived",9603.87014097467
"131","GOC116","GOC","GOC","LOW","Homozygous Derived",9778.10535439137
"132","GOC125","GOC","GOC","LOW","Homozygous Derived",9245.84264974169
"133","ENPAK19","ENP","AK","HIGH","Heterozygous",236.655968468468
"134","ENPAK20","ENP","AK","HIGH","Heterozygous",218.460113044067
"135","ENPAK21","ENP","AK","HIGH","Heterozygous",234.666217813978
"136","ENPAK22","ENP","AK","HIGH","Heterozygous",226.438081472621
"137","ENPAK23","ENP","AK","HIGH","Heterozygous",222.546330615271
"138","ENPAK24","ENP","AK","HIGH","Heterozygous",210.33518455229
"139","ENPAK25","ENP","AK","HIGH","Heterozygous",216.146831453218
"140","ENPAK26","ENP","AK","HIGH","Heterozygous",235.347873628962
"141","ENPAK27","ENP","AK","HIGH","Heterozygous",232.428514899181
"142","ENPAK28","ENP","AK","HIGH","Heterozygous",252.58204899114
"143","ENPAK29","ENP","AK","HIGH","Heterozygous",231.576822485599
"144","ENPAK30","ENP","AK","HIGH","Heterozygous",222.358918425325
"145","ENPBC16","ENP","BC","HIGH","Heterozygous",247.484120467683
"146","ENPBC17","ENP","BC","HIGH","Heterozygous",232.548371679082
"147","ENPBC18","ENP","BC","HIGH","Heterozygous",204.989131151867
"148","ENPCA02","ENP","CA","HIGH","Heterozygous",242.108870967742
"149","ENPCA03","ENP","CA","HIGH","Heterozygous",223.15678858045
"150","ENPCA04","ENP","CA","HIGH","Heterozygous",224.071174018289
"151","ENPCA05","ENP","CA","HIGH","Heterozygous",200.44028189911
"152","ENPCA06","ENP","CA","HIGH","Heterozygous",226.942253335963
"153","ENPCA07","ENP","CA","HIGH","Heterozygous",208.717307819638
"154","ENPCA08","ENP","CA","HIGH","Heterozygous",220.234942084942
"155","ENPOR10","ENP","OR","HIGH","Heterozygous",199.314500755932
"156","ENPOR11","ENP","OR","HIGH","Heterozygous",210.85004922875
"157","ENPOR13","ENP","OR","HIGH","Heterozygous",231.540941910075
"158","ENPWA14","ENP","WA","HIGH","Heterozygous",226.772528491916
"159","ENPWA15","ENP","WA","HIGH","Heterozygous",235.75045617465
"160","GOC002","GOC","GOC","HIGH","Heterozygous",125.311592059423
"161","GOC006","GOC","GOC","HIGH","Heterozygous",138.238718589659
"162","GOC025","GOC","GOC","HIGH","Heterozygous",134.594721513188
"163","GOC038","GOC","GOC","HIGH","Heterozygous",120.639756258235
"164","GOC050","GOC","GOC","HIGH","Heterozygous",147.472655226618
"165","GOC053","GOC","GOC","HIGH","Heterozygous",115.928300281432
"166","GOC063","GOC","GOC","HIGH","Heterozygous",145.61126040506
"167","GOC068","GOC","GOC","HIGH","Heterozygous",142.750365764448
"168","GOC071","GOC","GOC","HIGH","Heterozygous",118.3133057244
"169","GOC077","GOC","GOC","HIGH","Heterozygous",141.982921702575
"170","GOC082","GOC","GOC","HIGH","Heterozygous",145.598953107231
"171","GOC086","GOC","GOC","HIGH","Heterozygous",133.980247933884
"172","GOC091","GOC","GOC","HIGH","Heterozygous",137.641144878177
"173","GOC100","GOC","GOC","HIGH","Heterozygous",146.387649455614
"174","GOC112","GOC","GOC","HIGH","Heterozygous",136.058228145562
"175","GOC116","GOC","GOC","HIGH","Heterozygous",116.116214876033
"176","GOC125","GOC","GOC","HIGH","Heterozygous",153.60574701261
"177","ENPAK19","ENP","AK","MODERATE","Heterozygous",8597.6273485535
"178","ENPAK20","ENP","AK","MODERATE","Heterozygous",8397.54016163727
"179","ENPAK21","ENP","AK","MODERATE","Heterozygous",8569.3930949176
"180","ENPAK22","ENP","AK","MODERATE","Heterozygous",8410.56383243881
"181","ENPAK23","ENP","AK","MODERATE","Heterozygous",8498.78599129657
"182","ENPAK24","ENP","AK","MODERATE","Heterozygous",8616.12504653554
"183","ENPAK25","ENP","AK","MODERATE","Heterozygous",8488.63565623723
"184","ENPAK26","ENP","AK","MODERATE","Heterozygous",8612.25744227149
"185","ENPAK27","ENP","AK","MODERATE","Heterozygous",8622.96840445865
"186","ENPAK28","ENP","AK","MODERATE","Heterozygous",8314.46337397432
"187","ENPAK29","ENP","AK","MODERATE","Heterozygous",8562.07255698694
"188","ENPAK30","ENP","AK","MODERATE","Heterozygous",8481.73280673279
"189","ENPBC16","ENP","BC","MODERATE","Heterozygous",8650.30118008897
"190","ENPBC17","ENP","BC","MODERATE","Heterozygous",8642.11617455418
"191","ENPBC18","ENP","BC","MODERATE","Heterozygous",8660.47894954924
"192","ENPCA02","ENP","CA","MODERATE","Heterozygous",8504.22344774586
"193","ENPCA03","ENP","CA","MODERATE","Heterozygous",8572.90762591068
"194","ENPCA04","ENP","CA","MODERATE","Heterozygous",8628.06121083013
"195","ENPCA05","ENP","CA","MODERATE","Heterozygous",8156.53615481202
"196","ENPCA06","ENP","CA","MODERATE","Heterozygous",8442.89914198791
"197","ENPCA07","ENP","CA","MODERATE","Heterozygous",8572.16575517303
"198","ENPCA08","ENP","CA","MODERATE","Heterozygous",8395.47130862996
"199","ENPOR10","ENP","OR","MODERATE","Heterozygous",8725.42566718671
"200","ENPOR11","ENP","OR","MODERATE","Heterozygous",8541.85542579067
"201","ENPOR13","ENP","OR","MODERATE","Heterozygous",8565.35120854023
"202","ENPWA14","ENP","WA","MODERATE","Heterozygous",8730.06753360433
"203","ENPWA15","ENP","WA","MODERATE","Heterozygous",8618.19341850511
"204","GOC002","GOC","GOC","MODERATE","Heterozygous",4718.7726812794
"205","GOC006","GOC","GOC","MODERATE","Heterozygous",5679.98413491918
"206","GOC025","GOC","GOC","MODERATE","Heterozygous",5005.87485471955
"207","GOC038","GOC","GOC","MODERATE","Heterozygous",5320.81336846951
"208","GOC050","GOC","GOC","MODERATE","Heterozygous",5325.24693279288
"209","GOC053","GOC","GOC","MODERATE","Heterozygous",5239.97664245071
"210","GOC063","GOC","GOC","MODERATE","Heterozygous",5641.63726745227
"211","GOC068","GOC","GOC","MODERATE","Heterozygous",5398.30012236642
"212","GOC071","GOC","GOC","MODERATE","Heterozygous",5295.05058389091
"213","GOC077","GOC","GOC","MODERATE","Heterozygous",5513.19119001482
"214","GOC082","GOC","GOC","MODERATE","Heterozygous",5397.99099368156
"215","GOC086","GOC","GOC","MODERATE","Heterozygous",5024.36895560947
"216","GOC091","GOC","GOC","MODERATE","Heterozygous",5403.65224298234
"217","GOC100","GOC","GOC","MODERATE","Heterozygous",5453.48694011189
"218","GOC112","GOC","GOC","MODERATE","Heterozygous",5065.60806383535
"219","GOC116","GOC","GOC","MODERATE","Heterozygous",4736.82756634546
"220","GOC125","GOC","GOC","MODERATE","Heterozygous",5880.36519112534
"221","ENPAK19","ENP","AK","LOW","Heterozygous",10627.9580084893
"222","ENPAK20","ENP","AK","LOW","Heterozygous",10615.7648144576
"223","ENPAK21","ENP","AK","LOW","Heterozygous",10650.5802501837
"224","ENPAK22","ENP","AK","LOW","Heterozygous",10501.1817865369
"225","ENPAK23","ENP","AK","LOW","Heterozygous",10320.2180387811
"226","ENPAK24","ENP","AK","LOW","Heterozygous",10542.0444211063
"227","ENPAK25","ENP","AK","LOW","Heterozygous",10432.2829288832
"228","ENPAK26","ENP","AK","LOW","Heterozygous",10393.3192391038
"229","ENPAK27","ENP","AK","LOW","Heterozygous",10497.295943907
"230","ENPAK28","ENP","AK","LOW","Heterozygous",10360.3313106796
"231","ENPAK29","ENP","AK","LOW","Heterozygous",10580.2902686864
"232","ENPAK30","ENP","AK","LOW","Heterozygous",10604.5531069866
"233","ENPBC16","ENP","BC","LOW","Heterozygous",10456.1742974599
"234","ENPBC17","ENP","BC","LOW","Heterozygous",10623.4250367949
"235","ENPBC18","ENP","BC","LOW","Heterozygous",10637.2852293688
"236","ENPCA02","ENP","CA","LOW","Heterozygous",10496.6061136466
"237","ENPCA03","ENP","CA","LOW","Heterozygous",10657.3082190025
"238","ENPCA04","ENP","CA","LOW","Heterozygous",10351.0054132478
"239","ENPCA05","ENP","CA","LOW","Heterozygous",10102.2092013738
"240","ENPCA06","ENP","CA","LOW","Heterozygous",10609.8805931987
"241","ENPCA07","ENP","CA","LOW","Heterozygous",10462.5441837799
"242","ENPCA08","ENP","CA","LOW","Heterozygous",10524.4986438114
"243","ENPOR10","ENP","OR","LOW","Heterozygous",10590.5741325729
"244","ENPOR11","ENP","OR","LOW","Heterozygous",10759.5934221318
"245","ENPOR13","ENP","OR","LOW","Heterozygous",10810.5805661312
"246","ENPWA14","ENP","WA","LOW","Heterozygous",10854.9324794678
"247","ENPWA15","ENP","WA","LOW","Heterozygous",10682.8699418289
"248","GOC002","GOC","GOC","LOW","Heterozygous",5904.910234828
"249","GOC006","GOC","GOC","LOW","Heterozygous",7023.43713260424
"250","GOC025","GOC","GOC","LOW","Heterozygous",6325.03611073393
"251","GOC038","GOC","GOC","LOW","Heterozygous",6642.59840230532
"252","GOC050","GOC","GOC","LOW","Heterozygous",6755.16119625372
"253","GOC053","GOC","GOC","LOW","Heterozygous",6531.49719096356
"254","GOC063","GOC","GOC","LOW","Heterozygous",6988.00671908202
"255","GOC068","GOC","GOC","LOW","Heterozygous",6632.46434842486
"256","GOC071","GOC","GOC","LOW","Heterozygous",6667.34732090505
"257","GOC077","GOC","GOC","LOW","Heterozygous",6857.7712109575
"258","GOC082","GOC","GOC","LOW","Heterozygous",6667.62142463061
"259","GOC086","GOC","GOC","LOW","Heterozygous",6209.91603681423
"260","GOC091","GOC","GOC","LOW","Heterozygous",6595.70371775417
"261","GOC100","GOC","GOC","LOW","Heterozygous",6496.50863777357
"262","GOC112","GOC","GOC","LOW","Heterozygous",6419.34955467977
"263","GOC116","GOC","GOC","LOW","Heterozygous",6046.45094161959
"264","GOC125","GOC","GOC","LOW","Heterozygous",7218.21957426131
