"","SampleId","PopId","SubPopId","K","run","variable","value"
"1","ENPAK19","ENP","AK","K = 2",1,"Cluster1",0.99999
"2","ENPAK20","ENP","AK","K = 2",1,"Cluster1",0.99999
"3","ENPAK21","ENP","AK","K = 2",1,"Cluster1",0.993817
"4","ENPAK22","ENP","AK","K = 2",1,"Cluster1",0.990203
"5","ENPAK23","ENP","AK","K = 2",1,"Cluster1",0.99999
"6","ENPAK24","ENP","AK","K = 2",1,"Cluster1",0.997346
"7","ENPAK25","ENP","AK","K = 2",1,"Cluster1",0.99999
"8","ENPAK26","ENP","AK","K = 2",1,"Cluster1",0.99999
"9","ENPAK27","ENP","AK","K = 2",1,"Cluster1",0.99999
"10","ENPAK28","ENP","AK","K = 2",1,"Cluster1",0.99082
"11","ENPAK29","ENP","AK","K = 2",1,"Cluster1",0.999596
"12","ENPAK30","ENP","AK","K = 2",1,"Cluster1",0.99999
"13","ENPBC16","ENP","BC","K = 2",1,"Cluster1",0.991823
"14","ENPBC17","ENP","BC","K = 2",1,"Cluster1",0.989209
"15","ENPBC18","ENP","BC","K = 2",1,"Cluster1",0.99999
"16","ENPCA01","ENP","CA","K = 2",1,"Cluster1",0.740744
"17","ENPCA02","ENP","CA","K = 2",1,"Cluster1",0.989518
"18","ENPCA03","ENP","CA","K = 2",1,"Cluster1",0.99999
"19","ENPCA04","ENP","CA","K = 2",1,"Cluster1",0.939491
"20","ENPCA05","ENP","CA","K = 2",1,"Cluster1",0.932259
"21","ENPCA06","ENP","CA","K = 2",1,"Cluster1",0.99999
"22","ENPCA07","ENP","CA","K = 2",1,"Cluster1",0.995671
"23","ENPCA08","ENP","CA","K = 2",1,"Cluster1",0.985282
"24","ENPCA09","ENP","CA","K = 2",1,"Cluster1",0.52131
"25","ENPOR10","ENP","OR","K = 2",1,"Cluster1",0.995157
"26","ENPOR11","ENP","OR","K = 2",1,"Cluster1",0.988146
"27","ENPOR12","ENP","OR","K = 2",1,"Cluster1",0.99999
"28","ENPOR13","ENP","OR","K = 2",1,"Cluster1",0.99999
"29","ENPWA14","ENP","WA","K = 2",1,"Cluster1",0.99999
"30","ENPWA15","ENP","WA","K = 2",1,"Cluster1",0.991269
"31","GOC002","GOC",NA,"K = 2",1,"Cluster1",1e-05
"32","GOC006","GOC",NA,"K = 2",1,"Cluster1",1e-05
"33","GOC010","GOC",NA,"K = 2",1,"Cluster1",0.531232
"34","GOC025","GOC",NA,"K = 2",1,"Cluster1",1e-05
"35","GOC038","GOC",NA,"K = 2",1,"Cluster1",1e-05
"36","GOC050","GOC",NA,"K = 2",1,"Cluster1",1e-05
"37","GOC053","GOC",NA,"K = 2",1,"Cluster1",1e-05
"38","GOC063","GOC",NA,"K = 2",1,"Cluster1",1e-05
"39","GOC068","GOC",NA,"K = 2",1,"Cluster1",1e-05
"40","GOC071","GOC",NA,"K = 2",1,"Cluster1",1e-05
"41","GOC077","GOC",NA,"K = 2",1,"Cluster1",1e-05
"42","GOC080","GOC",NA,"K = 2",1,"Cluster1",1e-05
"43","GOC082","GOC",NA,"K = 2",1,"Cluster1",1e-05
"44","GOC086","GOC",NA,"K = 2",1,"Cluster1",1e-05
"45","GOC091","GOC",NA,"K = 2",1,"Cluster1",1e-05
"46","GOC100","GOC",NA,"K = 2",1,"Cluster1",1e-05
"47","GOC111","GOC",NA,"K = 2",1,"Cluster1",1e-05
"48","GOC112","GOC",NA,"K = 2",1,"Cluster1",1e-05
"49","GOC116","GOC",NA,"K = 2",1,"Cluster1",1e-05
"50","GOC125","GOC",NA,"K = 2",1,"Cluster1",1e-05
"51","ENPAK19","ENP","AK","K = 2",2,"Cluster1",0.99999
"52","ENPAK20","ENP","AK","K = 2",2,"Cluster1",0.99999
"53","ENPAK21","ENP","AK","K = 2",2,"Cluster1",0.993839
"54","ENPAK22","ENP","AK","K = 2",2,"Cluster1",0.990225
"55","ENPAK23","ENP","AK","K = 2",2,"Cluster1",0.99999
"56","ENPAK24","ENP","AK","K = 2",2,"Cluster1",0.997368
"57","ENPAK25","ENP","AK","K = 2",2,"Cluster1",0.99999
"58","ENPAK26","ENP","AK","K = 2",2,"Cluster1",0.99999
"59","ENPAK27","ENP","AK","K = 2",2,"Cluster1",0.99999
"60","ENPAK28","ENP","AK","K = 2",2,"Cluster1",0.990844
"61","ENPAK29","ENP","AK","K = 2",2,"Cluster1",0.999617
"62","ENPAK30","ENP","AK","K = 2",2,"Cluster1",0.99999
"63","ENPBC16","ENP","BC","K = 2",2,"Cluster1",0.991844
"64","ENPBC17","ENP","BC","K = 2",2,"Cluster1",0.989228
"65","ENPBC18","ENP","BC","K = 2",2,"Cluster1",0.99999
"66","ENPCA01","ENP","CA","K = 2",2,"Cluster1",0.740758
"67","ENPCA02","ENP","CA","K = 2",2,"Cluster1",0.989537
"68","ENPCA03","ENP","CA","K = 2",2,"Cluster1",0.99999
"69","ENPCA04","ENP","CA","K = 2",2,"Cluster1",0.939509
"70","ENPCA05","ENP","CA","K = 2",2,"Cluster1",0.932278
"71","ENPCA06","ENP","CA","K = 2",2,"Cluster1",0.99999
"72","ENPCA07","ENP","CA","K = 2",2,"Cluster1",0.995692
"73","ENPCA08","ENP","CA","K = 2",2,"Cluster1",0.985304
"74","ENPCA09","ENP","CA","K = 2",2,"Cluster1",0.52132
"75","ENPOR10","ENP","OR","K = 2",2,"Cluster1",0.995178
"76","ENPOR11","ENP","OR","K = 2",2,"Cluster1",0.988168
"77","ENPOR12","ENP","OR","K = 2",2,"Cluster1",0.99999
"78","ENPOR13","ENP","OR","K = 2",2,"Cluster1",0.99999
"79","ENPWA14","ENP","WA","K = 2",2,"Cluster1",0.99999
"80","ENPWA15","ENP","WA","K = 2",2,"Cluster1",0.991292
"81","GOC002","GOC",NA,"K = 2",2,"Cluster1",1e-05
"82","GOC006","GOC",NA,"K = 2",2,"Cluster1",1e-05
"83","GOC010","GOC",NA,"K = 2",2,"Cluster1",0.531242
"84","GOC025","GOC",NA,"K = 2",2,"Cluster1",1e-05
"85","GOC038","GOC",NA,"K = 2",2,"Cluster1",1e-05
"86","GOC050","GOC",NA,"K = 2",2,"Cluster1",1e-05
"87","GOC053","GOC",NA,"K = 2",2,"Cluster1",1e-05
"88","GOC063","GOC",NA,"K = 2",2,"Cluster1",1e-05
"89","GOC068","GOC",NA,"K = 2",2,"Cluster1",1e-05
"90","GOC071","GOC",NA,"K = 2",2,"Cluster1",1e-05
"91","GOC077","GOC",NA,"K = 2",2,"Cluster1",1e-05
"92","GOC080","GOC",NA,"K = 2",2,"Cluster1",1e-05
"93","GOC082","GOC",NA,"K = 2",2,"Cluster1",1e-05
"94","GOC086","GOC",NA,"K = 2",2,"Cluster1",1e-05
"95","GOC091","GOC",NA,"K = 2",2,"Cluster1",1e-05
"96","GOC100","GOC",NA,"K = 2",2,"Cluster1",1e-05
"97","GOC111","GOC",NA,"K = 2",2,"Cluster1",1e-05
"98","GOC112","GOC",NA,"K = 2",2,"Cluster1",1e-05
"99","GOC116","GOC",NA,"K = 2",2,"Cluster1",1e-05
"100","GOC125","GOC",NA,"K = 2",2,"Cluster1",1e-05
"101","ENPAK19","ENP","AK","K = 2",3,"Cluster1",1e-05
"102","ENPAK20","ENP","AK","K = 2",3,"Cluster1",1e-05
"103","ENPAK21","ENP","AK","K = 2",3,"Cluster1",0.006154
"104","ENPAK22","ENP","AK","K = 2",3,"Cluster1",0.009767
"105","ENPAK23","ENP","AK","K = 2",3,"Cluster1",1e-05
