"","SampleId","PopId","SubPopId","type","length","bcftools","RZooRoH"
"106","ENPAK30","ENP","AK","Total number","5_Inf",0,0
"107","ENPBC16","ENP","BC","Total number","5_Inf",0,0
"108","ENPBC17","ENP","BC","Total number","5_Inf",0,0
"109","ENPBC18","ENP","BC","Total number","5_Inf",0,0
"110","ENPCA01","ENP","CA","Total number","5_Inf",4,4
"111","ENPCA02","ENP","CA","Total number","5_Inf",0,0
"112","ENPCA03","ENP","CA","Total number","5_Inf",0,0
"113","ENPCA04","ENP","CA","Total number","5_Inf",0,0
"114","ENPCA05","ENP","CA","Total number","5_Inf",2,2
"115","ENPCA06","ENP","CA","Total number","5_Inf",1,1
"116","ENPCA07","ENP","CA","Total number","5_Inf",0,0
"117","ENPCA08","ENP","CA","Total number","5_Inf",0,0
"118","ENPOR10","ENP","OR","Total number","5_Inf",0,0
"119","ENPOR11","ENP","OR","Total number","5_Inf",0,0
"120","ENPOR13","ENP","OR","Total number","5_Inf",0,0
"121","ENPWA14","ENP","WA","Total number","5_Inf",0,0
"122","ENPWA15","ENP","WA","Total number","5_Inf",0,0
"123","GOC002","GOC","GOC","Total number","5_Inf",13,12
"124","GOC006","GOC","GOC","Total number","5_Inf",5,4
"125","GOC025","GOC","GOC","Total number","5_Inf",4,4
"126","GOC038","GOC","GOC","Total number","5_Inf",9,8
"127","GOC050","GOC","GOC","Total number","5_Inf",6,5
"128","GOC053","GOC","GOC","Total number","5_Inf",6,5
"129","GOC063","GOC","GOC","Total number","5_Inf",3,3
"130","GOC068","GOC","GOC","Total number","5_Inf",2,2
"131","GOC071","GOC","GOC","Total number","5_Inf",8,7
"132","GOC077","GOC","GOC","Total number","5_Inf",6,5
"133","GOC080","GOC","GOC","Total number","5_Inf",2,2
"134","GOC082","GOC","GOC","Total number","5_Inf",6,4
"135","GOC086","GOC","GOC","Total number","5_Inf",7,6
"136","GOC091","GOC","GOC","Total number","5_Inf",10,10
"137","GOC100","GOC","GOC","Total number","5_Inf",9,9
"138","GOC111","GOC","GOC","Total number","5_Inf",7,7
"139","GOC112","GOC","GOC","Total number","5_Inf",8,8
"140","GOC116","GOC","GOC","Total number","5_Inf",8,7
"141","GOC125","GOC","GOC","Total number","5_Inf",5,4
"142","ENPAK19","ENP","AK","Total length (Mb)","0.1_1",73277116,75943004
"143","ENPAK20","ENP","AK","Total length (Mb)","0.1_1",69961818,75318572
"144","ENPAK21","ENP","AK","Total length (Mb)","0.1_1",78804114,79843811
"145","ENPAK22","ENP","AK","Total length (Mb)","0.1_1",86212763,86166171
"146","ENPAK23","ENP","AK","Total length (Mb)","0.1_1",76913698,79725793
"147","ENPAK24","ENP","AK","Total length (Mb)","0.1_1",75645793,80251489
"148","ENPAK25","ENP","AK","Total length (Mb)","0.1_1",88266824,88230736
"149","ENPAK26","ENP","AK","Total length (Mb)","0.1_1",89375955,88079975
"150","ENPAK27","ENP","AK","Total length (Mb)","0.1_1",82076345,84401732
"151","ENPAK28","ENP","AK","Total length (Mb)","0.1_1",87913540,90654947
"152","ENPAK29","ENP","AK","Total length (Mb)","0.1_1",75487846,83346888
"153","ENPAK30","ENP","AK","Total length (Mb)","0.1_1",75030891,81138945
"154","ENPBC16","ENP","BC","Total length (Mb)","0.1_1",69745598,75354326
"155","ENPBC17","ENP","BC","Total length (Mb)","0.1_1",80168388,82483384
"156","ENPBC18","ENP","BC","Total length (Mb)","0.1_1",80420862,81627573
"157","ENPCA01","ENP","CA","Total length (Mb)","0.1_1",80461941,81097845
"158","ENPCA02","ENP","CA","Total length (Mb)","0.1_1",78684096,82648884
"159","ENPCA03","ENP","CA","Total length (Mb)","0.1_1",84486121,83393897
"160","ENPCA04","ENP","CA","Total length (Mb)","0.1_1",83055890,83452358
"161","ENPCA05","ENP","CA","Total length (Mb)","0.1_1",74106611,83730741
"162","ENPCA06","ENP","CA","Total length (Mb)","0.1_1",83634122,79605471
"163","ENPCA07","ENP","CA","Total length (Mb)","0.1_1",78352921,82228574
