"","sample.id","pop","PC1","PC2","PC3","PC4"
"1","ENPAK19","AK",0.0433878823994649,0.107825486289106,0.00578514146837352,0.00631801325457897
"2","ENPAK20","AK",0.0305825012285155,0.119446108048248,-0.00927717627580857,0.122049399332598
"3","ENPAK21","AK",0.00514411821091379,0.144277172383001,-0.0728341512047189,0.0740918060715332
"4","ENPAK22","AK",0.0042504362862701,0.111314864082556,0.0793304033381175,0.470057980590755
"5","ENPAK23","AK",0.0506402742684813,0.0681770862420503,-0.0833788264686465,0.0485312566554507
"6","ENPAK24","AK",0.0315243546293134,0.0827034519673047,0.109845130906495,0.0361283037074919
"7","ENPAK25","AK",0.00513024815574418,0.152254019149836,-0.152402513503356,-0.0894608736062944
"8","ENPAK26","AK",0.0884012129654959,0.111343768554262,0.0254062155299573,0.0398956198602883
"9","ENPAK27","AK",0.00539567268767806,0.140949270288769,-0.143171374293291,0.0717185805827379
"10","ENPAK28","AK",-0.00650843017721027,0.0830262931491806,-0.0502509573770714,0.0426920006262186
"11","ENPAK29","AK",0.0650720683027421,0.12885417765184,-0.0481232984785756,0.168331468354044
"12","ENPAK30","AK",0.041503930328466,0.110650604912888,-0.0727466500663836,0.11108887867585
"13","ENPBC16","BC",0.059150919048597,0.0524740700555176,0.00563442036553469,0.481848002717508
"14","ENPBC17","BC",-0.212616341623804,-0.0865589571316803,-0.505251929456832,-0.120740645484147
"15","ENPBC18","BC",0.0203533615454905,0.0872065108667323,-0.236008813686021,-0.275019038539315
"16","ENPCA01","CA",0.0786577124144802,-0.0333173133957587,0.305762626927546,-0.336943249654926
"17","ENPCA02","CA",0.362499375050998,-0.45131304246931,-0.0961798805305212,0.0898051334081795
"18","ENPCA03","CA",0.457936378716522,-0.479499816515615,-0.049065025150921,0.0758738426909757
"19","ENPCA04","CA",0.022314898146938,0.045969507138144,0.29219243087865,-0.145719135232129
"20","ENPCA05","CA",0.159843165442331,-0.18492168466383,0.23280750586989,-0.269870392948835
"21","ENPCA06","CA",-0.051510016460202,-0.0256526349655022,-0.416939179756991,-0.223967211731007
"22","ENPCA07","CA",0.0159154721589119,0.244856312059155,0.0848248019474903,-0.108369322369544
"23","ENPCA08","CA",-0.085869327176255,-0.0619773607506112,0.172968073854201,-0.0293787705545503
"24","ENPCA09","CA",0.0427624648930131,-0.0231315823478538,0.0941386570087868,-0.102288176324336
"25","ENPOR10","OR",-0.227131267965979,-0.0361647312412122,0.193652167693738,0.0858998061589459
"26","ENPOR11","OR",0.0181352164253955,0.249813703604713,0.200813833376047,-0.203194847684567
"27","ENPOR12","OR",-0.00120209061597343,-0.000374794406761979,-0.00219320017087533,-0.00511681654519424
"28","ENPOR13","OR",-0.511120917757418,-0.34584437092644,0.233128842379168,0.119506368832967
"29","ENPWA14","WA",-0.480565845604558,-0.317821015322854,-0.0822687131834694,-0.000698060784731457
"30","ENPWA15","WA",-0.0320774259243634,0.00543489769412298,-0.0161985619405134,-0.133069920060547
