"","sample.id","loc","pop","PC1","PC2","PC3"
"1","ENPAK19","AK","ENP",-0.124198785831443,-0.0189101307841285,-0.106317647547841
"2","ENPAK20","AK","ENP",-0.126727833217691,-0.0223616817869274,-0.113675624161553
"3","ENPAK21","AK","ENP",-0.123188817983389,0.00301715370828563,-0.136407825717085
"4","ENPAK22","AK","ENP",-0.121698390726474,-0.0113485148106162,-0.0980737201652386
"5","ENPAK23","AK","ENP",-0.120993214232785,-0.0476971365441979,-0.0712316089484635
"6","ENPAK24","AK","ENP",-0.116235587574555,-0.0312989724328284,-0.096719037028714
"7","ENPAK25","AK","ENP",-0.125123945661964,-0.0168941895532896,-0.139297339251347
"8","ENPAK26","AK","ENP",-0.122498267409489,-0.0966349882068354,-0.120024651732542
"9","ENPAK27","AK","ENP",-0.12374554767118,-0.00185333361594726,-0.142224453513954
"10","ENPAK28","AK","ENP",-0.105011841232774,0.00266993303940486,-0.0833211523291758
"11","ENPAK29","AK","ENP",-0.124780684363521,-0.0666645171569488,-0.132277526648187
"12","ENPAK30","AK","ENP",-0.126841033007005,-0.0560023567768086,-0.115998466784242
"13","ENPBC16","BC","ENP",-0.127062359915861,-0.0650679989791624,-0.051156646508289
"14","ENPBC17","BC","ENP",-0.122945583970647,0.200261386424244,0.0948071575449152
"15","ENPBC18","BC","ENP",-0.129344073462043,-0.0186281583147108,-0.0792022378717174
"16","ENPCA01","CA","ENP",-0.0416664767504713,-0.0352309161829172,0.00990670435973407
"17","ENPCA02","CA","ENP",-0.122820235273222,-0.388571445849335,0.441238466704458
"18","ENPCA03","CA","ENP",-0.126857755044569,-0.490214740804715,0.476161701855231
"19","ENPCA04","CA","ENP",-0.102862458894359,0.00460012338701649,-0.0665656856452132
"20","ENPCA05","CA","ENP",-0.101374930064703,-0.146907755498836,0.168845490725844
"21","ENPCA06","CA","ENP",-0.12820056987823,0.0494276095089176,0.0330793714231115
"22","ENPCA07","CA","ENP",-0.123263008327528,-0.0243492339766286,-0.238817686420433
"23","ENPCA08","CA","ENP",-0.105001896181854,0.0955119139883975,0.0571802532118935
"24","ENPCA09","CA","ENP",0.0284229051779562,-0.0184266294654707,0.00700115668664138
"25","ENPOR10","OR","ENP",-0.12468243227311,0.207757049819521,0.044108701982847
"26","ENPOR11","OR","ENP",-0.126066271013141,-0.0286286710790481,-0.242711211154217
"27","ENPOR12","OR","ENP",-0.0639603513213755,0.00145041836877862,-0.000926552225645499
"28","ENPOR13","OR","ENP",-0.129978211921445,0.495724178000966,0.367261124110226
"29","ENPWA14","WA","ENP",-0.128067333506688,0.465025158362391,0.332768381067479
"30","ENPWA15","WA","ENP",-0.133444957756124,0.0220264183564908,0.00617344538885103
"31","GOC002","GOC","GOC",0.180582508266382,0.00447249346094123,-0.00543139050987877
"32","GOC006","GOC","GOC",0.180167868308431,-0.00247556526468871,-0.00171188430544751
"33","GOC010","GOC","GOC",0.0254641355367277,0.00133914645210044,-0.0116668496912496
"34","GOC025","GOC","GOC",0.180385647877787,-0.00137833041253408,-0.00428764922744493
"35","GOC038","GOC","GOC",0.175353171021704,0.00399429437350276,-0.00696305163901292
"36","GOC050","GOC","GOC",0.174918977371834,0.00112690789576685,0.00379215442770416
"37","GOC053","GOC","GOC",0.175432251667708,0.00386969353702305,0.003568337535998
"38","GOC063","GOC","GOC",0.169956551227988,0.00251329896736229,0.00474885670968617
"39","GOC068","GOC","GOC",0.170609339355642,0.0072716634447474,0.00718727215698635
"40","GOC071","GOC","GOC",0.172842632178631,-0.00880030675066329,0.0107569057531201
"41","GOC077","GOC","GOC",0.172175457751496,0.00389621548334775,0.00471470901902779
"42","GOC080","GOC","GOC",0.180358551581505,-0.00304862131952211,-0.00530583503192866
"43","GOC082","GOC","GOC",0.175279246654092,0.0108764994347619,-0.00687281098424211
"44","GOC086","GOC","GOC",0.175904780425947,-0.00897097673455936,0.0170865521168505
"45","GOC091","GOC","GOC",0.174364489496646,-0.000242889300658363,-0.00488767587831461
"46","GOC100","GOC","GOC",0.175653203669079,0.0162736980911957,-0.00179241880586446
"47","GOC111","GOC","GOC",0.1832981381022,-0.0037824649305032,-0.00485839108394229
"48","GOC112","GOC","GOC",0.179244668844765,0.00202042690018299,-0.00114805611947256
"49","GOC116","GOC","GOC",0.183045633542154,0.00497312244751374,-3.35890278826585e-05
"50","GOC125","GOC","GOC",0.165182696408954,0.00429172307962127,-0.000478066822067299
