"","GT_FILTER","ENPAK19","ENPAK20","ENPAK21","ENPAK22","ENPAK23","ENPAK24","ENPAK25","ENPAK26","ENPAK27","ENPAK28","ENPAK29","ENPAK30","ENPBC16","ENPBC17","ENPBC18","ENPCA01","ENPCA02","ENPCA03","ENPCA04","ENPCA05","ENPCA06","ENPCA07","ENPCA08","ENPCA09","ENPOR10","ENPOR11","ENPOR12","ENPOR13","ENPWA14","ENPWA15","GOC002","GOC006","GOC010","GOC025","GOC038","GOC050","GOC053","GOC063","GOC068","GOC071","GOC077","GOC080","GOC082","GOC086","GOC091","GOC100","GOC111","GOC112","GOC116","GOC125"
"1","Site FAIL",0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849,0.597945460470849
"2","./.",0.000172835509589253,0.000208388315636029,0.00013965661912532,0.000181731024722714,0.000196319979294982,0.000244720237507475,0.000152374146951418,0.000201305718274605,0.00027073091821401,0.000427074210719489,0.000127294017061427,0.000214638880968237,0.000102320580006619,0.000114307606082143,0.000115963065879675,0.000133049407178728,0.000141641622115396,0.000125303421301765,0.000276466518531237,0.000198634095264556,0.00011821308010553,0.0001288229942237,0.000493368750329726,8.58941855187443e-05,0.000122931226571103,8.4863395062693e-05,0.0132228754284554,0.000105021457503735,0.000125646731311752,6.39279376491614e-05,0.000107825155918629,0.000106539679339881,7.13215790421901e-05,9.53846852935733e-05,0.000138125060684777,0.000111702235881039,8.77200096821339e-05,0.000116647965047468,0.000157950138228914,0.000148785309729223,0.000119523509040894,0.000175082082110747,0.000166277772142847,0.00015258107942611,0.000132661785225096,0.000182612101039072,0.00014359952168363,0.000157394733187695,0.00013613489513816,0.000119440047710145
"3","GT_DP < 8",0.00869290500923326,0.0114934964255155,0.00556933071913172,0.00898624620424536,0.0120031207757542,0.0204224494376932,0.00623763269785859,0.0111124059663342,0.0201528379338226,0.0428941404169295,0.00256504461153541,0.0126544611749651,0.00149727261191462,0.00404817913214902,0.00338805593362248,0.00511984369940184,0.00414428184301486,0.00388110288459447,0.0227501644416229,0.00922767359110567,0.0036384356237382,0.00259541248996268,0.0333449828142537,0.00339899668157233,0.00239478736872542,0.000657566442399532,0.157779653403403,0.00318396845779828,0.00505532421881567,0.000245026549195584,0.00118497493949643,0.00449058785664793,0.00310789732673822,0.00213142987189131,0.00515745335401722,0.0013635860592161,0.00227797420186863,0.00268511793284793,0.00520003024845129,0.00528332981909505,0.00250677182436404,0.00764840237279565,0.00689523915007131,0.0042810672202772,0.00453960461015404,0.00930635955705382,0.00372104556287067,0.00583778236863281,0.00335504826795049,0.00356182844722395
"4","GT_DP > 2.5x mean",0.000842373060181641,0.000760457484903949,0.000709508644612304,0.000720102640847806,0.00102012676530244,0.000901150057041862,0.000669459682031225,0.000728542130153464,0.00271196494771413,0.000742418651923052,0.00068392688631173,0.000856221187890252,0.000703993743587212,0.000681907896491092,0.00064911146542425,0.000647202179930112,0.000707366613860769,0.000640312318012891,0.000885208082442765,0.000802287529491728,0.000690488925888587,0.000766200829055987,0.00426610355014266,0.000652693419237724,0.000749817455872622,0.000718919124760745,0.0451579631908927,0.000712046041152284,0.00066105848168658,0.000703199140092919,0.000747174226923549,0.000645614693793706,0.000644038393196472,0.000629267028293083,0.000754446548237861,0.000670966288115153,0.000689175055248863,0.00064086514177584,0.000733378154993394,0.000807463422637284,0.000689200868031568,0.000634187805102897,0.000710219356562804,0.000742318412283545,0.000724087704284535,0.000691712882001887,0.000716953051144654,0.000840072280816465,0.000686141623067887,0.000632432105665858
"5","GT_GQ < 20",0.014816585456985,0.0125734623836865,0.00829601368533165,0.0102363807813391,0.0144659519303313,0.0164112535699659,0.00902373798048639,0.0135376614531264,0.0112895350021136,0.0221105520802343,0.00868237382410234,0.0117100975081825,0.00783585910293556,0.00886282969735939,0.00823981624588983,0.00845159421010817,0.0118550676886278,0.00807587926292535,0.0158035927012237,0.011308790477586,0.00778069159352369,0.0083506382658806,0.0147789426759651,0.00786515403002836,0.00848678778826229,0.00712819865356499,0.01116166708085,0.0079456266707528,0.00960142547616371,0.00300486818584633,0.00675636723954025,0.00833480986752541,0.00692938257818235,0.00569298384319249,0.00806039073287579,0.00743653707532915,0.00597884277292428,0.00687441597826255,0.0108781265692182,0.0123092750058885,0.00870469026539063,0.0136968789989862,0.0119345981627835,0.0102204938740097,0.00783129325188795,0.0115507698277832,0.00890686028167284,0.0102052389496437,0.00986069810013462,0.00792329947413838
"6","GT_ABHomRef < 0.9",0.000181666922978995,7.03617737385798e-05,0.000106260471073613,9.23215684124862e-05,0.000108353887751053,9.11827944821157e-05,9.08089393459268e-05,0.000122977689579973,9.82464624695553e-05,7.04478163475991e-05,0.0001076302694092,6.69209298038979e-05,0.000148247973635898,0.000158982649537146,0.000202053858760028,7.76289324963501e-05,0.000127770693115394,0.000128085609064404,0.000158116630677366,7.47998515117954e-05,0.000148452755045364,0.000106673905809951,4.45279105935793e-05,0.000164280292974464,0.000150611564105658,0.000568064920497653,1.96826770262106e-05,0.000164488946301336,0.000162583532724604,0.000366298874264794,0.000157308690578675,0.000146797725460877,0.0001392548001412,0.000128496032309426,0.000149415571840289,0.000152354357151344,0.000152599148374004,0.000162687644281517,9.01558759434703e-05,0.00013604455039869,0.000140909829725686,7.44647155496652e-05,0.000117338887197894,0.000120062996199445,0.000151656121379152,0.000130649248600134,9.22845700906079e-05,0.000128812238897572,0.000137860049448997,0.000164027327703947
"7","GT_ABHomAlt > 0.1",6.03158689225311e-07,4.84419888778673e-07,5.94984641368477e-07,5.5024248467844e-07,5.71753136933266e-07,5.27441193288325e-07,6.18646358848785e-07,5.55405041219598e-07,5.78206332609713e-07,4.13864949382845e-07,5.91112723962609e-07,5.39056945505931e-07,6.2423912843504e-07,5.93694002233188e-07,6.30692324111488e-07,5.71322923888169e-07,5.38626732460834e-07,6.22518276254654e-07,5.30882897649097e-07,5.57986319490177e-07,6.23378702344847e-07,6.0573996749589e-07,5.64439515166625e-07,6.20797424074268e-07,6.26390193660523e-07,7.00817050462219e-07,3.15346162055744e-07,6.35854880652646e-07,5.73473989113652e-07,7.31362176664072e-07,7.18885998356273e-07,6.37145519787936e-07,6.92212789560289e-07,6.94794067830868e-07,6.75004267756429e-07,6.80597037342683e-07,7.21467276626852e-07,6.9952641132693e-07,6.01437837044925e-07,5.63148876031335e-07,6.26820406705619e-07,5.02919049717824e-07,5.41208010731413e-07,5.74334415203845e-07,6.50912337231024e-07,5.33033962874579e-07,6.03588902270408e-07,5.53253975994116e-07,6.23378702344847e-07,6.41017437193804e-07
"8","GT_ABHet > 0.8 or < 0.2",2.02724991110379e-05,2.12800580626539e-05,1.88755973536095e-05,1.99980231882663e-05,2.33631496270112e-05,2.14904322417061e-05,1.99545716707116e-05,2.20729407047668e-05,1.7732091079743e-05,1.88833411884212e-05,1.84294664258444e-05,2.22613740185191e-05,1.54313117145668e-05,1.55457483845625e-05,1.42546790362279e-05,1.84965796608795e-05,1.76606757142569e-05,1.60465163690548e-05,1.92326741810396e-05,2.20565926090531e-05,1.57965625898538e-05,1.93165657248334e-05,2.46516376970753e-05,1.4995075686839e-05,1.76645476316628e-05,1.303846675774e-05,1.27067724999706e-05,1.4616488207154e-05,1.59346609773297e-05,1.15477785564806e-05,1.14974436302043e-05,1.23290454463759e-05,1.50987570307072e-05,1.1518524069414e-05,1.17349212310976e-05,1.2115659776008e-05,1.11993059899524e-05,1.14591546691907e-05,1.49021496690981e-05,1.41213129922479e-05,1.28143257612447e-05,1.70618191554826e-05,1.26392290518905e-05,1.34377044635896e-05,1.14630265865966e-05,1.28354062004545e-05,1.44228923368606e-05,1.20967304020237e-05,1.24520863772735e-05,1.16918999265879e-05
"9","PASS",0.377327297912382,0.376926608667719,0.387214298807881,0.38181720904391,0.374236731287953,0.363961765559025,0.385859952864448,0.376329018225936,0.367512913967405,0.335790609146859,0.389869249341581,0.376529399416377,0.391750789966228,0.388172193105145,0.389444653588214,0.387606153197451,0.38506021176597,0.389187186998607,0.362161227597574,0.380419739405263,0.389661837609557,0.390086868738526,0.349101397750654,0.389871905046708,0.390131313187788,0.392883187709057,0.174699675629861,0.389928135612555,0.386431992953482,0.397658939701369,0.393088672947065,0.388317223515417,0.39114685388203,0.393364764750034,0.387782298335996,0.392306597256645,0.392856307567786,0.391562646185855,0.384979394954809,0.383354956959534,0.38988000208643,0.3798079588164,0.38221768576333,0.386524003908076,0.388663122117296,0.380179067472509,0.388458770060449,0.384872588973595,0.387865581128331,0.389641179209345
