"","rep","model","pop","popSize","meanFitness","meanHet","FROH_500kb","FROH_1Mb","avgvStrDel","avgStrDel","avgModDel","avgWkDel","popmodel","geneticLoad"
"41",16,"w/ Mig","GOC",114,0.912256,0.00115613,0.14263,0.105352,0.7,22.825,28.4,286.95,"GOC w/ Mig",0.087744
"42",17,"w/ Mig","GOC",114,0.941362,0.00130822,0.0647193,0.0368172,0.75,21.3,28.05,276.65,"GOC w/ Mig",0.058638
"43",18,"w/ Mig","GOC",114,0.923761,0.00102682,0.194996,0.112519,0.35,15.15,28.575,290.25,"GOC w/ Mig",0.0762389999999999
"44",19,"w/ Mig","GOC",114,0.910666,0.00125562,0.140335,0.0888164,0.45,27.65,31.4,315.1,"GOC w/ Mig",0.089334
"45",20,"w/ Mig","GOC",114,0.938024,0.00106586,0.126902,0.0800439,0.25,17.025,31.15,305.7,"GOC w/ Mig",0.061976
"46",21,"w/ Mig","GOC",114,0.876854,0.00105348,0.22014,0.164479,0.975,28,21.125,322.075,"GOC w/ Mig",0.123146
"47",22,"w/ Mig","GOC",114,0.900971,0.00092057,0.209386,0.132023,0.625,19.375,34.125,304.875,"GOC w/ Mig",0.099029
"48",23,"w/ Mig","GOC",114,0.953816,0.00104529,0.157183,0.093597,0.4,16.425,23.85,274.625,"GOC w/ Mig",0.046184
"49",24,"w/ Mig","GOC",114,0.944304,0.00112336,0.145668,0.0781944,0.275,18.625,25.025,325.425,"GOC w/ Mig",0.055696
"50",25,"w/ Mig","GOC",114,0.91925,0.00106947,0.144279,0.0749415,1.025,17.9,30.125,300.4,"GOC w/ Mig",0.08075
"51",1,"w/o Mig","GOC",114,0.896635,0.000212498,0.324588,0.15793,0.325,7.65,45.375,281.525,"GOC w/o Mig",0.103365
"52",2,"w/o Mig","GOC",114,0.886913,0.000264578,0.185203,0.117375,0,12.725,43.35,246.1,"GOC w/o Mig",0.113087
"53",3,"w/o Mig","GOC",114,0.944965,0.000115027,0.275006,0.134431,0,4,21.55,321.3,"GOC w/o Mig",0.0550349999999999
"54",4,"w/o Mig","GOC",114,0.884748,0.000199325,0.195408,0.0755271,0.075,12.5,31.7,250.925,"GOC w/o Mig",0.115252
"55",5,"w/o Mig","GOC",114,0.928898,9.75925e-05,0.184216,0.0897411,0,5.4,37.65,292.05,"GOC w/o Mig",0.071102
"56",6,"w/o Mig","GOC",114,0.900637,0.000185657,0.193785,0.094671,0.125,11.775,33.55,257.15,"GOC w/o Mig",0.099363
"57",7,"w/o Mig","GOC",114,0.860161,0.000222808,0.102286,0.0266795,0.575,16.15,36.175,292.075,"GOC w/o Mig",0.139839
"58",8,"w/o Mig","GOC",114,0.86265,0.000151608,0.235679,0.12878,0.225,14.125,33.075,300.475,"GOC w/o Mig",0.13735
"59",9,"w/o Mig","GOC",114,0.9428,6.40125e-05,0.297149,0.202981,0,3.55,24.675,251.175,"GOC w/o Mig",0.0572
"60",10,"w/o Mig","GOC",114,0.903025,0.000206892,0.207833,0.105959,0,13.225,15.85,281.975,"GOC w/o Mig",0.096975
"61",11,"w/o Mig","GOC",114,0.924491,0.000169947,0.178885,0.0696909,0.075,6.45,24.25,306.275,"GOC w/o Mig",0.075509
"62",12,"w/o Mig","GOC",114,0.858751,0.000164655,0.22785,0.14342,0,17.125,25.45,283.275,"GOC w/o Mig",0.141249
"63",13,"w/o Mig","GOC",114,0.921519,0.000189035,0.262496,0.161477,0.075,4.975,44.05,291.4,"GOC w/o Mig",0.078481
"64",14,"w/o Mig","GOC",114,0.865007,0.000287992,0.219143,0.10901,0.05,13.05,38.5,292.9,"GOC w/o Mig",0.134993
"65",15,"w/o Mig","GOC",114,0.901079,0.000153467,0.258092,0.166999,0.5,8.9,28.875,293.925,"GOC w/o Mig",0.098921
"66",16,"w/o Mig","GOC",114,0.900364,0.000314825,0.165357,0.0832173,0,15.075,31.25,262.325,"GOC w/o Mig",0.0996359999999999
"67",17,"w/o Mig","GOC",114,0.850576,0.000104538,0.20067,0.100787,0.175,17.15,33.175,294.5,"GOC w/o Mig",0.149424
"68",18,"w/o Mig","GOC",114,0.931442,0.000150978,0.183438,0.0804283,0.025,5.475,30.475,285.5,"GOC w/o Mig",0.068558
"69",19,"w/o Mig","GOC",114,0.869076,0.00031101,0.156193,0.0457899,0,17.4,21.975,327.025,"GOC w/o Mig",0.130924
"70",20,"w/o Mig","GOC",114,0.919815,0.000329865,0.285982,0.178517,0,7.375,35.95,287.725,"GOC w/o Mig",0.080185
"71",21,"w/o Mig","GOC",114,0.892512,0.000288707,0.282439,0.144309,0.025,12.55,32.5,326.975,"GOC w/o Mig",0.107488
"72",22,"w/o Mig","GOC",114,0.847767,0.000193943,0.201138,0.0879968,0.075,17.375,39.95,274.2,"GOC w/o Mig",0.152233
"73",23,"w/o Mig","GOC",114,0.88343,0.000338765,0.19956,0.113348,0.275,13.475,41,314.1,"GOC w/o Mig",0.11657
"74",24,"w/o Mig","GOC",114,0.915897,0.000212755,0.196144,0.0917715,0.05,7.45,42.5,258.7,"GOC w/o Mig",0.084103
"75",25,"w/o Mig","GOC",114,0.919582,0.00012192,0.163022,0.0299912,0.075,5.825,28,303.65,"GOC w/o Mig",0.080418
