"","SampleId","PopId","SubPopId","MutType","variable","value"
"85","GOC100","GOC","GOC","MODERATE","Derived Alleles",19671.7205710742
"86","GOC112","GOC","GOC","MODERATE","Derived Alleles",19513.5334016709
"87","GOC116","GOC","GOC","MODERATE","Derived Alleles",19531.6016657122
"88","GOC125","GOC","GOC","MODERATE","Derived Alleles",19435.7076125679
"89","ENPAK19","ENP","AK","LOW","Derived Alleles",25594.452299896
"90","ENPAK20","ENP","AK","LOW","Derived Alleles",25617.0753612641
"91","ENPAK21","ENP","AK","LOW","Derived Alleles",25256.750747646
"92","ENPAK22","ENP","AK","LOW","Derived Alleles",25484.3687772888
"93","ENPAK23","ENP","AK","LOW","Derived Alleles",25516.8225486945
"94","ENPAK24","ENP","AK","LOW","Derived Alleles",25461.2426616631
"95","ENPAK25","ENP","AK","LOW","Derived Alleles",25446.2444402434
"96","ENPAK26","ENP","AK","LOW","Derived Alleles",25554.885114117
"97","ENPAK27","ENP","AK","LOW","Derived Alleles",25591.016650395
"98","ENPAK28","ENP","AK","LOW","Derived Alleles",25452.1437555163
"99","ENPAK29","ENP","AK","LOW","Derived Alleles",25595.6825028274
"100","ENPAK30","ENP","AK","LOW","Derived Alleles",25858.8490650392
"101","ENPBC16","ENP","BC","LOW","Derived Alleles",25381.1124277802
"102","ENPBC17","ENP","BC","LOW","Derived Alleles",25502.7661255819
"103","ENPBC18","ENP","BC","LOW","Derived Alleles",25608.8657987772
"104","ENPCA02","ENP","CA","LOW","Derived Alleles",25444.526626733
"105","ENPCA03","ENP","CA","LOW","Derived Alleles",25595.1649310598
"106","ENPCA04","ENP","CA","LOW","Derived Alleles",25653.4635975524
"107","ENPCA05","ENP","CA","LOW","Derived Alleles",25517.4023443598
"108","ENPCA06","ENP","CA","LOW","Derived Alleles",25698.8299582374
"109","ENPCA07","ENP","CA","LOW","Derived Alleles",25497.3727835439
"110","ENPCA08","ENP","CA","LOW","Derived Alleles",25769.0884290354
"111","ENPOR10","ENP","OR","LOW","Derived Alleles",25521.4826087699
"112","ENPOR11","ENP","OR","LOW","Derived Alleles",25645.760777998
"113","ENPOR13","ENP","OR","LOW","Derived Alleles",25472.0470523962
"114","ENPWA14","ENP","WA","LOW","Derived Alleles",25527.573727346
"115","ENPWA15","ENP","WA","LOW","Derived Alleles",25665.8186393393
"116","GOC002","GOC","GOC","LOW","Derived Alleles",25665.4676495094
"117","GOC006","GOC","GOC","LOW","Derived Alleles",25552.5556818182
"118","GOC025","GOC","GOC","LOW","Derived Alleles",25429.9896632494
"119","GOC038","GOC","GOC","LOW","Derived Alleles",25515.0090371204
"120","GOC050","GOC","GOC","LOW","Derived Alleles",25523.5550063857
"121","GOC053","GOC","GOC","LOW","Derived Alleles",25417.7541286895
"122","GOC063","GOC","GOC","LOW","Derived Alleles",25568.8338334042
"123","GOC068","GOC","GOC","LOW","Derived Alleles",25719.7549492167
"124","GOC071","GOC","GOC","LOW","Derived Alleles",25608.9702298831
"125","GOC077","GOC","GOC","LOW","Derived Alleles",25716.8893283837
"126","GOC082","GOC","GOC","LOW","Derived Alleles",25570.3731271875
"127","GOC086","GOC","GOC","LOW","Derived Alleles",25548.8580132655
"128","GOC091","GOC","GOC","LOW","Derived Alleles",25747.4534492166
"129","GOC100","GOC","GOC","LOW","Derived Alleles",25787.2943175943
"130","GOC112","GOC","GOC","LOW","Derived Alleles",25627.0898366291
"131","GOC116","GOC","GOC","LOW","Derived Alleles",25602.6616504023
"132","GOC125","GOC","GOC","LOW","Derived Alleles",25709.9048737447
