"","maxhetpkb_ex","BalAcu02","BalMus01","EubGla01","MegNov01","GOC002","GOC006","GOC010","GOC025","GOC038","GOC050","GOC053","GOC063","GOC068","GOC071","GOC077","GOC080","GOC082","GOC086","GOC091","GOC100","GOC111","GOC112","GOC116","GOC125"
"1","0.1",0.0128432240921169,0.00841452612931798,0.0163861824623561,0.0186005314437555,0.186077057793345,0.14492119089317,0.0157618213660245,0.150175131348511,0.161120840630473,0.138353765323993,0.152802101576182,0.146672504378284,0.146672504378284,0.148861646234676,0.132661996497373,0.154553415061296,0.152364273204904,0.144483362521891,0.173817863397548,0.172942206654991,0.135726795096322,0.138791593695271,0.154115586690018,0.137040280210158
"2","0.2",0.0177147918511957,0.00310008857395926,0.00177147918511957,0.00310008857395926,0.0271453590192644,0.0271453590192644,0.000875656742556918,0.0218914185639229,0.0223292469352014,0.0306479859894921,0.026707530647986,0.0227670753064799,0.0232049036777583,0.0245183887915937,0.0218914185639229,0.0302101576182137,0.0354640980735552,0.032399299474606,0.0275831873905429,0.0245183887915937,0.0262697022767075,0.0310858143607706,0.0345884413309982,0.0205779334500876
"3","0.3",0.0341009743135518,0.00310008857395926,0.00265721877767936,0.00664304694419841,0.0328371278458844,0.032399299474606,0.00350262697022767,0.0240805604203152,0.0262697022767075,0.0319614711033275,0.0232049036777583,0.021015761821366,0.0341506129597198,0.0253940455341506,0.0306479859894921,0.0297723292469352,0.0354640980735552,0.037215411558669,0.0249562171628722,0.0332749562171629,0.031523642732049,0.0310858143607706,0.0297723292469352,0.0223292469352014
"4","0.4",0.0823737821080602,0.00398582816651904,0.00310008857395926,0.012400354295837,0.0328371278458844,0.0306479859894921,0.00437828371278459,0.0319614711033275,0.0328371278458844,0.0359019264448336,0.0319614711033275,0.0297723292469352,0.0275831873905429,0.026707530647986,0.0284588441330998,0.0280210157618214,0.0310858143607706,0.0341506129597198,0.032399299474606,0.026707530647986,0.0332749562171629,0.0367775831873905,0.031523642732049,0.0258318739054291
"5","0.5",0.130203720106289,0.00442869796279894,0.00487156775907883,0.0199291408325952,0.0262697022767075,0.0280210157618214,0.00262697022767075,0.0293345008756567,0.0258318739054291,0.0328371278458844,0.0275831873905429,0.0302101576182137,0.0306479859894921,0.0271453590192644,0.031523642732049,0.031523642732049,0.0262697022767075,0.0337127845884413,0.031523642732049,0.0376532399299475,0.0350262697022767,0.0394045534150613,0.0345884413309982,0.0280210157618214
"6","0.6",0.175376439326838,0.00797165633303809,0.00974313551815766,0.0270150575730735,0.037215411558669,0.0341506129597198,0.0074430823117338,0.0354640980735552,0.0354640980735552,0.0350262697022767,0.0341506129597198,0.032399299474606,0.0345884413309982,0.0376532399299475,0.0359019264448336,0.0284588441330998,0.0341506129597198,0.0472854640980736,0.0310858143607706,0.0297723292469352,0.0376532399299475,0.0354640980735552,0.0284588441330998,0.0319614711033275
"7","0.7",0.186005314437555,0.00841452612931798,0.0119574844995571,0.0403011514614703,0.0293345008756567,0.0341506129597198,0.0135726795096322,0.0450963222416813,0.037215411558669,0.037215411558669,0.0415936952714536,0.0359019264448336,0.0433450087565674,0.0437828371278459,0.0385288966725044,0.0389667250437828,0.0345884413309982,0.0376532399299475,0.0306479859894921,0.0424693520140105,0.0442206654991243,0.0380910683012259,0.0424693520140105,0.0363397548161121
"8","0.8",0.143932683790965,0.00752878653675819,0.0110717449069973,0.0553587245349867,0.0433450087565674,0.0380910683012259,0.0100700525394046,0.0411558669001751,0.042907180385289,0.0503502626970228,0.0367775831873905,0.0359019264448336,0.0359019264448336,0.0459719789842382,0.0398423817863398,0.0494746059544659,0.0450963222416813,0.0485989492119089,0.0494746059544659,0.0494746059544659,0.0415936952714536,0.0450963222416813,0.0503502626970228,0.0354640980735552
"9","0.9",0.0987599645704163,0.0115146147032772,0.016829052258636,0.070859167404783,0.0468476357267951,0.0490367775831874,0.0293345008756567,0.0468476357267951,0.0547285464098074,0.0464098073555166,0.0376532399299475,0.0472854640980736,0.0499124343257443,0.0464098073555166,0.0455341506129597,0.0472854640980736,0.0433450087565674,0.0481611208406305,0.0433450087565674,0.0516637478108581,0.0472854640980736,0.0446584938704028,0.0459719789842382,0.0433450087565674
"10","1",0.0646589902568645,0.0194862710363153,0.0279007971656333,0.0819309123117803,0.0437828371278459,0.0459719789842382,0.0319614711033275,0.0424693520140105,0.0481611208406305,0.042031523642732,0.0472854640980736,0.0367775831873905,0.0485989492119089,0.0481611208406305,0.0433450087565674,0.0481611208406305,0.0507880910683012,0.0464098073555166,0.0490367775831874,0.0407180385288967,0.0542907180385289,0.0402802101576182,0.0521015761821366,0.042907180385289
"11",">=1",0.054030115146147,0.922054915854739,0.893711248892825,0.663861824623561,0.49430823117338,0.535464098073555,0.880472854640981,0.531523642732049,0.513134851138354,0.519264448336252,0.540280210157618,0.561295971978984,0.525394045534151,0.525394045534151,0.551663747810858,0.513572679509632,0.51138353765324,0.489929947460595,0.506129597197898,0.490805604203152,0.513134851138354,0.519264448336252,0.496059544658494,0.576182136602452
