"","ID1","ID2","kinship_B_separate_ENP","kinship_C_middle_ENP","kinship_A_all_ENP","PopId","SubPopId","SubPopId2"
"85","ENPCA03","ENPCA04",0,0,0,"ENP","CA","CA"
"86","ENPCA03","ENPCA05",0,0,0.0174696143963168,"ENP","CA","CA"
"87","ENPCA03","ENPCA06",0,0,0,"ENP","CA","CA"
"88","ENPCA03","ENPCA07",0,0,0,"ENP","CA","CA"
"89","ENPCA03","ENPCA08",0,0,0,"ENP","CA","CA"
"90","ENPCA03","ENPCA09",0.0300473333225278,0.0300473333225278,0.0330832655941604,"ENP","CA","CA"
"91","ENPCA04","ENPCA05",0,0,0,"ENP","CA","CA"
"92","ENPCA04","ENPCA06",0,0,0,"ENP","CA","CA"
"93","ENPCA04","ENPCA07",0,0,0,"ENP","CA","CA"
"94","ENPCA04","ENPCA08",0,0,0,"ENP","CA","CA"
"95","ENPCA04","ENPCA09",0.0293806301983882,0.0293806301983882,0.0374956079225521,"ENP","CA","CA"
"96","ENPCA05","ENPCA06",0,0,0,"ENP","CA","CA"
"97","ENPCA05","ENPCA07",0,0,0,"ENP","CA","CA"
"98","ENPCA05","ENPCA08",0,0,0,"ENP","CA","CA"
"99","ENPCA05","ENPCA09",0.029322124300048,0.029322124300048,0.0385671502827522,"ENP","CA","CA"
"100","ENPCA06","ENPCA07",0,0,0,"ENP","CA","CA"
"101","ENPCA06","ENPCA08",0,0,0,"ENP","CA","CA"
"102","ENPCA06","ENPCA09",0.0174761145151364,0.0174761145151364,0.0334606651661549,"ENP","CA","CA"
"103","ENPCA07","ENPCA08",0,0,0,"ENP","CA","CA"
"104","ENPCA07","ENPCA09",0.0357770769420443,0.0357770769420443,0.0437899099504711,"ENP","CA","CA"
"105","ENPCA08","ENPCA09",0.0140093902018015,0.0140093902018015,0.0262492599735645,"ENP","CA","CA"
"106","ENPOR10","ENPOR11",0.00860094527845995,0.0102122068049784,0,"ENP","OR","MENP"
"107","ENPOR10","ENPOR12",0,0,0,"ENP","OR","MENP"
"108","ENPOR10","ENPOR13",0.0153776991251207,0.0170095979188669,0.0250052367531773,"ENP","OR","MENP"
"109","ENPOR11","ENPOR12",0,0,0,"ENP","OR","MENP"
"110","ENPOR11","ENPOR13",0,0,0,"ENP","OR","MENP"
"111","ENPOR12","ENPOR13",0,0,0,"ENP","OR","MENP"
"112","ENPWA14","ENPWA15",0.0100582475161462,0.0144567240498206,0.00142078064588702,"ENP","WA","MENP"
"113","GOC002","GOC006",0.05961413432944,0.05961413432944,0.05961413432944,"GOC","GOC","GOC"
"114","GOC002","GOC010",0.0450892290089629,0.0450892290089629,0.0450892290089629,"GOC","GOC","GOC"
"115","GOC002","GOC025",0.0310899805626867,0.0310899805626867,0.0310899805626867,"GOC","GOC","GOC"
"116","GOC002","GOC038",0.00914773251371657,0.00914773251371657,0.00914773251371657,"GOC","GOC","GOC"
"117","GOC002","GOC050",0.0385894345930239,0.0385894345930239,0.0385894345930239,"GOC","GOC","GOC"
"118","GOC002","GOC053",0.0612988308074107,0.0612988308074107,0.0612988308074107,"GOC","GOC","GOC"
"119","GOC002","GOC063",0.0305106208266755,0.0305106208266755,0.0305106208266755,"GOC","GOC","GOC"
"120","GOC002","GOC068",0.0240363583813064,0.0240363583813064,0.0240363583813064,"GOC","GOC","GOC"
"121","GOC002","GOC071",0.0298987770691539,0.0298987770691539,0.0298987770691539,"GOC","GOC","GOC"
"122","GOC002","GOC077",0.0377321490117387,0.0377321490117387,0.0377321490117387,"GOC","GOC","GOC"
"123","GOC002","GOC080",0.056050628022637,0.056050628022637,0.056050628022637,"GOC","GOC","GOC"
"124","GOC002","GOC082",0.0347225131684167,0.0347225131684167,0.0347225131684167,"GOC","GOC","GOC"
"125","GOC002","GOC086",0.0206892395261345,0.0206892395261345,0.0206892395261345,"GOC","GOC","GOC"
"126","GOC002","GOC091",0.0484605836519714,0.0484605836519714,0.0484605836519714,"GOC","GOC","GOC"
"127","GOC002","GOC100",0.0263234497697661,0.0263234497697661,0.0263234497697661,"GOC","GOC","GOC"
"128","GOC002","GOC111",0.04345564982737,0.04345564982737,0.04345564982737,"GOC","GOC","GOC"
"129","GOC002","GOC112",0.0224079632576471,0.0224079632576471,0.0224079632576471,"GOC","GOC","GOC"
"130","GOC002","GOC116",0.0597897794232169,0.0597897794232169,0.0597897794232169,"GOC","GOC","GOC"
"131","GOC002","GOC125",0.0532992866758231,0.0532992866758231,0.0532992866758231,"GOC","GOC","GOC"
"132","GOC006","GOC010",0.0764600402104712,0.0764600402104712,0.0764600402104712,"GOC","GOC","GOC"
"133","GOC006","GOC025",0.0965883438908641,0.0965883438908641,0.0965883438908641,"GOC","GOC","GOC"
"134","GOC006","GOC038",0.061919966702756,0.061919966702756,0.061919966702756,"GOC","GOC","GOC"
"135","GOC006","GOC050",0.0780563653393739,0.0780563653393739,0.0780563653393739,"GOC","GOC","GOC"
"136","GOC006","GOC053",0.0719203621275211,0.0719203621275211,0.0719203621275211,"GOC","GOC","GOC"
"137","GOC006","GOC063",0.0668565321413145,0.0668565321413145,0.0668565321413145,"GOC","GOC","GOC"
"138","GOC006","GOC068",0.088721155356948,0.088721155356948,0.088721155356948,"GOC","GOC","GOC"
