"","SITE_FILTER","N_FILTER_all","N_FILTER_01","N_FILTER_02","N_FILTER_03","N_FILTER_04","N_FILTER_05","N_FILTER_06","N_FILTER_07","N_FILTER_08","N_FILTER_09","N_FILTER_10","N_FILTER_11","N_FILTER_12","N_FILTER_13","N_FILTER_14","N_FILTER_15","N_FILTER_16","N_FILTER_17","N_FILTER_18","N_FILTER_19","N_FILTER_20","N_FILTER_21","N_FILTER_22","N_FILTER_23","N_FILTER_24","N_FILTER_25","N_FILTER_26","N_FILTER_27","N_FILTER_28","N_FILTER_29","N_FILTER_30","N_FILTER_31","N_FILTER_32","N_FILTER_33","N_FILTER_34","N_FILTER_35","N_FILTER_36","N_FILTER_37","N_FILTER_38","N_FILTER_39","N_FILTER_40","N_FILTER_41","N_FILTER_42","N_FILTER_43","N_FILTER_44","N_FILTER_45","N_FILTER_46","N_FILTER_47","N_FILTER_48","N_FILTER_49","N_FILTER_50","N_FILTER_51","N_FILTER_52","N_FILTER_53","N_FILTER_54","N_FILTER_55","N_FILTER_56","N_FILTER_57","N_FILTER_58","N_FILTER_59","N_FILTER_60","N_FILTER_61","N_FILTER_62","N_FILTER_63","N_FILTER_64","N_FILTER_65","N_FILTER_66","N_FILTER_67","N_FILTER_68","N_FILTER_69","N_FILTER_70","N_FILTER_71","N_FILTER_72","N_FILTER_73","N_FILTER_74","N_FILTER_75","N_FILTER_76","N_FILTER_77","N_FILTER_78","N_FILTER_79","N_FILTER_80","N_FILTER_81","N_FILTER_82","N_FILTER_83","N_FILTER_84","N_FILTER_85","N_FILTER_86","N_FILTER_87","N_FILTER_88","N_FILTER_89","N_FILTER_90","N_FILTER_91","N_FILTER_92","N_FILTER_93","N_FILTER_94","N_FILTER_95","N_FILTER_96"
"1","QUAL < 30",0.163434071658594,0.168160678719745,0.151465087244299,0.18774713347789,0.156934180725406,0.166012667443576,0.157204308614208,0.169708534817621,0.169507642633641,0.172986421557188,0.140841950277654,0.176162754772571,0.163254637577251,0.152332892201934,0.166135694132776,0.159864435499788,0.177636475421186,0.143735701486747,0.157248903510614,0.158113601420293,0.162942250284798,0.159992094028848,0.172586795964911,0.141673731345394,0.182213477645447,0.185441982989085,0.142737452073518,0.179646345398081,0.135046634901664,0.140697459206687,0.175004622493223,0.19994027045723,0.1687052654332,0.188298127839313,0.170016924779788,0.152601378862627,0.246892086748225,0.153719279779528,0.185581543422236,0.15285583517044,0.195752085198634,0.164128059862142,0.182361141404136,0.162542269707469,0.192429807759381,0.151304539525252,0.21988879323959,0.16302590755502,0.184329387295763,0.174424475503327,0.182833805764208,0.163609806217798,0.154631929457904,0.137098468001176,0.197988294699054,0.143499438661293,0.152015578812526,0.158923450523457,0.131911586038444,0.13351334886659,0.177120034760157,0.165365361416667,0.161830569057665,0.158320503214682,0.165901789368415,0.152051500143092,0.171043010855611,0.150323927236921,0.146560784175486,0.153909549498295,0.152249342426277,0.165060863359937,0.151869387074748,0.166735465306666,0.157300838102409,0.188496649708058,0.170445491951215,0.176973770717402,0.160952612695974,0.174252749090611,0.136732243804079,0.164510318834985,0.174532011078353,0.144319595880192,0.173579385577965,0.155509635826984,0.139690543066941,0.162958858207096,0.161375579224152,0.144701187815282,0.165671768292277,0.144213080241442,0.150630128400561,0.158701671302836,0.157423431557067,0.134533088469097,0.146899273397168
"2","Hard Filter",0.00317270289899938,0.0031460602174729,0.00302947160817191,0.0032746363022272,0.00292030123329581,0.00357603167187992,0.00312163358359305,0.00322233546811892,0.0031618582941965,0.00350225543219468,0.00276808292313321,0.00339532673046004,0.00321590162539583,0.00340910648595028,0.00312551107421047,0.00325243035267604,0.00332758068024069,0.00296512206367506,0.00304337747287543,0.00315326419925181,0.00320787778104578,0.00308086745658009,0.00335676069775287,0.00289029329752287,0.00335787502024941,0.00432772796549127,0.00316291082765771,0.00355432180255488,0.00248938280276462,0.00290322542831258,0.00358921348633801,0.00324503939724763,0.00326064669492783,0.00339181717822361,0.0030832996896137,0.0030068727257848,0.00315314742702607,0.00318896845293151,0.0036022179267144,0.00309097151781891,0.00323793646940158,0.00329673159926063,0.00324731285837615,0.00328457818796171,0.00298562738181511,0.00294466463766376,0.00350610222781037,0.00295208796547924,0.00339826128370856,0.00317763980999125,0.00331248384606497,0.00306811653991088,0.00274215288501529,0.00293154472615461,0.00387702505258919,0.00301918597048286,0.00313275485429383,0.00299113265678476,0.00299710319738708,0.0029509161024995,0.00313131743684262,0.00306018609974855,0.00327409087270267,0.00316269220179448,0.00311541128639014,0.00342607514831705,0.00307211356556214,0.00313564103380881,0.00315913289160253,0.0032608297235427,0.00305264681701481,0.00295794301507836,0.00324045034928245,0.00327165960566083,0.00298758545610725,0.00304150163785913,0.0033026005186451,0.00326060837121516,0.00341790623508735,0.00329121166177452,0.00289182833415563,0.00353960844469954,0.00361365138926114,0.00308696598862632,0.00307827145662194,0.00321966283574713,0.00283016709343129,0.00322272029398108,0.00306705489976246,0.0031883899399685,0.00316887605174905,0.0030417053992984,0.00305672627638374,0.00303970988395924,0.00306998247644916,0.00273844263748125,0.00294029737051825
"3","CpG or Repeat",0.430556318108178,0.437278248859332,0.473560797769848,0.428595642289557,0.435188724548355,0.427554024072683,0.444668957158011,0.408171837947841,0.429117036030589,0.438257442256389,0.422035847648558,0.441239497257981,0.453483328922761,0.421143942153081,0.453844265936106,0.420150970369392,0.449237297787035,0.429447459466686,0.439661587511696,0.421788194168498,0.450182459813221,0.416464259509774,0.449227807122057,0.400978899146881,0.431862076799733,0.416184669406236,0.412553355780177,0.420563694093031,0.411741707363591,0.445436880288688,0.428565717790135,0.427595757452877,0.436534125564533,0.427487716348151,0.436059775921923,0.421804578932335,0.388485559812596,0.450118788003889,0.428562010900596,0.440455688429044,0.426468101289988,0.426734745587089,0.43563238797446,0.42679685438043,0.434431830265211,0.440836508707235,0.428024426180923,0.425752974394502,0.432723085943417,0.439388164112375,0.453788433737323,0.423252394830405,0.410313169385814,0.419028003700491,0.427891763381491,0.430388607469637,0.405598024968181,0.448914921572623,0.432259258038567,0.388017937815037,0.422906251683374,0.43528963659709,0.438973071757685,0.447867642028731,0.421818352121728,0.441362211834093,0.438836102023392,0.444447854982737,0.406014297296738,0.437743429709427,0.429274713712803,0.428650272037019,0.445034103492477,0.418687191491429,0.431946943574093,0.459225516353733,0.427540396249285,0.413172986226703,0.414002649359265,0.431226762741858,0.430474691345697,0.434385483704385,0.434245760743322,0.456058894772549,0.442390956711989,0.416633076301973,0.421872582620499,0.447306284503274,0.428865991022782,0.409724463499873,0.436918638846411,0.403410306000459,0.408004132161115,0.427371613453492,0.425989686143465,0.438144283837709,0.42768537492754
"4","Not SNP",0.000782367805077669,0.000759580173105132,0.000640924067939919,0.00068147756930323,0.00069925499604656,0.000924499962681008,0.000722650764595442,0.000917707703257499,0.000816580883224071,0.000776739568571492,0.000831597508598397,0.000782281928481073,0.00072921267019989,0.000899012720512923,0.000658194093899653,0.000895977802021075,0.000672488810138378,0.00090000794078497,0.00073526241554106,0.000763286539268961,0.000830223751660753,0.000951998262178039,0.000682718255452543,0.00100934121874417,0.000759232301532144,0.00104767773955548,0.000966285782736728,0.000841584201468155,0.000646280619491659,0.000816610843145376,0.000748318279129538,0.000660413409492745,0.00067944031121728,0.000717875428793009,0.000676997422804878,0.000824195260340022,0.000642869544943055,0.000690648541926985,0.000751006998862096,0.00079306327405457,0.000675299601748316,0.00073919777824007,0.000688923779340683,0.000722746805308321,0.000631639185553078,0.000715701491845549,0.00064597173609614,0.000668928578547171,0.000685218988714392,0.000721885392153458,0.000711318141425339,0.000716258896747822,0.000842729944169267,0.000859998944689939,0.000898268090142256,0.000771788867208852,0.00109992584219136,0.000723126576464506,0.00101174734172694,0.00111191374140557,0.000702916863038166,0.000743184750828937,0.000750435167863673,0.000835412116350057,0.000752632137941712,0.000865235921844582,0.000676671072596427,0.000769110383202751,0.00114241421966363,0.000833327748303992,0.00076980525221976,0.000792470714320061,0.000721527718393227,0.0007368197716273,0.000743519355333062,0.000600522568207304,0.000702358828921896,0.000818341148067497,0.00090123316689363,0.000711894452491725,0.000808422020324973,0.000998545593690687,0.000718341820780845,0.000761290972425397,0.000687878212336397,0.00076021502335568,0.000909044474813722,0.000702538055331346,0.000698133980746972,0.000923403803607258,0.000703709170164174,0.000891830270545067,0.000907753886495108,0.00074475520423683,0.000814540193599013,0.000804673057819078,0.000678745628888397
"5","GT Het > 75%",9.74561611057131e-06,5.67561632965783e-06,9.4408993685059e-06,4.79824858875722e-06,1.01351758337589e-05,1.27370263969669e-05,5.44298648153471e-06,3.4794983955113e-06,5.7500260680712e-06,3.91094967302589e-06,7.13288683951381e-06,3.14112964210907e-06,6.78316193406065e-06,1.47140196671612e-05,1.09680234787821e-05,1.26474810565307e-05,4.28602791535678e-05,6.43423288093876e-06,4.68944139374118e-06,1.04449736952595e-05,8.15141661973039e-06,1.02553871082326e-05,1.19671569694951e-05,7.11223559199481e-06,8.53895743599185e-06,1.02251497962217e-05,7.36833305899578e-06,4.63700963318749e-05,3.47869277985214e-06,8.16220099480732e-06,1.88450760013829e-05,2.05963940586268e-05,6.57537819074857e-06,1.16390348669387e-05,5.48352645835788e-06,3.87591080224191e-06,8.48735471684929e-06,3.24987906510631e-05,1.84426748244765e-05,4.64183983568677e-06,2.78537874231661e-05,1.13363216142286e-05,1.76502300507451e-05,1.98211278208559e-05,3.1016616565357e-05,5.69364759737561e-06,1.15606961166123e-05,6.22041373911478e-06,2.27240991155283e-05,7.23737816326199e-06,9.83658664700909e-06,7.40240470027746e-06,8.36419236159917e-06,4.7252689268678e-06,7.15550705711883e-06,5.04186889187955e-06,6.83303869614276e-06,8.3426693136166e-06,1.728873857543e-05,9.75515193527634e-06,9.60657790141245e-06,4.956619562858e-06,8.34499223879597e-06,6.38338837191643e-06,9.0938787245638e-06,6.71874023413879e-06,7.63371037006725e-06,4.92792364127564e-06,1.00485450071495e-05,1.07563528053933e-05,4.2738748061893e-06,8.6066940995686e-06,4.38420764996486e-06,1.58664384367645e-06,3.05219717053485e-06,3.71211242397627e-06,7.75475047705563e-06,6.08243652945802e-06,8.03828113178998e-06,3.4832756085222e-06,4.28879782377886e-06,7.17890890743441e-06,5.32475654426874e-06,8.72791076450402e-06,2.97093173685321e-05,1.23457780182684e-05,1.16022660011311e-05,4.5701070819141e-06,3.91190550126835e-06,7.59562070993052e-06,4.43893030657472e-06,1.3469431030067e-05,5.85542146604052e-06,1.01148445019867e-05,2.40227614400289e-06,4.31518513212116e-06,6.42195159693099e-06
"6","Missing > 20%",0.0187857064889018,0.0159200066194791,0.0125049997581453,0.014339145008502,0.0139016019420872,0.0166206795585198,0.0141085443058695,0.0172593518918313,0.0153098882001978,0.0169893734088624,0.0149825727889629,0.0147529482783468,0.014596590564294,0.0168262796555601,0.0153437389826768,0.0163238769698409,0.014452304919844,0.0164205154103016,0.0191333058406082,0.0178660751062077,0.0157895696441875,0.0160573257493192,0.0214322658378882,0.0189877951481948,0.0220067130903653,0.0204326945519246,0.0171797640582193,0.0529335347458298,0.0142998472853869,0.0154770092288878,0.035176479038738,0.0129482663981901,0.0137264724170294,0.0308910780995095,0.0142581657965411,0.0196903137456576,0.0149154412080939,0.0134176181262103,0.0403950882014273,0.0154556970707669,0.058259600747348,0.0153189503918588,0.0398482889772854,0.0165248281686016,0.0397457551875754,0.014200906049121,0.0446176503142048,0.0333192448765529,0.0291353540794498,0.0245248467377475,0.0223521809600158,0.0149221111769103,0.0257628143433778,0.0159326375354645,0.0171101275368351,0.0141695662199379,0.0180987856272059,0.0152101146979891,0.0180942513390193,0.0182784816067826,0.0158361234512151,0.0150200981934585,0.0146489294278095,0.0149121856079756,0.0153332268086484,0.025424781153403,0.0144209095000299,0.0166210168084389,0.0191393583274683,0.0160045014509078,0.0148015286592292,0.015567498279129,0.017515994761523,0.0149370177318909,0.0145911110655573,0.0136274298593043,0.0138531231795954,0.0151974745385616,0.0164421767519816,0.0146027621698272,0.0151098276001492,0.0175071238818934,0.0151924953095685,0.0141507412919462,0.0153182907935697,0.0155248158579725,0.0159572297024481,0.014957629311925,0.0141527498275938,0.020917826847248,0.0146736123903862,0.0220090118190408,0.0215420628617113,0.013967126835013,0.0157128246607723,0.0147769374015272,0.0146975243718187
"7","PASS",0.383259087424138,0.374729749794536,0.358789278652227,0.365357167103932,0.390345801378975,0.385299360264264,0.380168462587242,0.400716752672935,0.382081243932082,0.367483856827122,0.418532815966254,0.363664049902517,0.364713545478164,0.405374052763295,0.360881627756852,0.399499661525225,0.354630992102403,0.406524759398923,0.380172873807272,0.398305133592786,0.367039467308468,0.403443199606193,0.352701684964968,0.434452827607671,0.359792086185237,0.372555022197911,0.423392863144632,0.342414149662704,0.435772668334322,0.394660652803284,0.356896803836436,0.355589656490904,0.377087474200902,0.349201746071143,0.375899352862871,0.402068784562453,0.345902407904399,0.378832198304863,0.341089689875339,0.38734410269804,0.315579122905456,0.389770978459796,0.338204294776351,0.390108901622409,0.329744323603899,0.389991985941285,0.303305495605258,0.374274636216158,0.349705968309832,0.357755751066242,0.336991940964316,0.394423909933528,0.405698839791358,0.424144621823097,0.352227365732831,0.408146370942548,0.420048096856905,0.373228911303368,0.41370876530628,0.456117646715749,0.380293749227471,0.380516576322644,0.380514558724036,0.374895181442095,0.393069494398152,0.376863477059017,0.371943559272439,0.38469752163125,0.423973964544033,0.388237605516718,0.39984768925765,0.386962345900416,0.381614152395926,0.395630259448883,0.39242695024933,0.335004667760414,0.38414827452186,0.390570736561522,0.404275383509666,0.375911136607828,0.413978698097771,0.379051740631439,0.371692414902171,0.381613783183496,0.36491550793015,0.40834024837595,0.418728830775866,0.370847399521311,0.391836579139461,0.42053713247331,0.378858956318706,0.426420596838186,0.415853340992268,0.396165008475961,0.396987132692504,0.408998259411234,0.40709236235247
