time_kyr,RSL_95low_m,RSL_95high_m,RSL_Pmax_m,RSL_Pmax95high_m,RSL_Pmax95low_m
0,-27.11,15.371,1.705,7.364,-3.955
0.125,-6.957,11.752,1.642,4.746,-1.462
0.25,-5.764,15.717,1.018,4.075,-2.04
0.375,-11.4,8.563,-0.066,2.987,-3.12
0.5,-12.449,7.841,-0.838,2.218,-3.894
0.625,-13.355,7.908,-0.688,2.368,-3.744
0.75,-7.764,15.841,-0.129,2.935,-3.193
0.875,-10.147,12.425,-0.096,2.967,-3.159
1,-14.444,9.398,-0.521,2.545,-3.588
1.125,-16.183,8.822,-0.63,2.44,-3.699
1.25,-9.642,14.219,-0.272,2.793,-3.337
1.375,-10.704,10.428,0.004,3.059,-3.051
1.5,-11.389,9.682,0.024,3.077,-3.029
1.625,-12.8,8.865,0.361,3.416,-2.694
1.75,-10.889,11.057,1.391,4.449,-1.668
1.875,-5.344,14.03,2.421,5.47,-0.629
2,-7.683,13.498,2.343,5.401,-0.714
2.125,-11.651,13.498,1.118,4.19,-1.953
2.25,-13.119,7.541,-0.117,2.936,-3.171
2.375,-11.761,11.336,-0.602,2.462,-3.666
2.5,-10.667,11.272,-0.74,2.322,-3.802
2.625,-11.779,7.735,-1.134,1.92,-4.188
2.75,-13.194,7.421,-1.708,1.346,-4.761
2.875,-13.868,7.655,-2.09,0.965,-5.145
3,-12.853,7.596,-2.202,0.852,-5.255
3.125,-13.793,7.304,-2.07,0.984,-5.124
3.25,-14.129,13.319,-1.616,1.464,-4.696
3.375,-14.788,11.516,-0.994,2.084,-4.071
3.5,-16.307,15.025,-0.691,2.413,-3.794
3.625,-15.63,15.413,-1.115,1.982,-4.212
3.75,-13.829,10.612,-2.267,0.8,-5.335
3.875,-15.052,8.397,-3.741,-0.676,-6.806
4,-17.644,4.056,-4.95,-1.89,-8.009
4.125,-18.067,2.474,-5.544,-2.491,-8.598
4.25,-18.062,3.203,-5.679,-2.621,-8.737
4.375,-18.552,3.757,-5.81,-2.748,-8.873
4.5,-17.923,4.917,-6.334,-3.273,-9.396
4.625,-16.544,4.115,-7.44,-4.384,-10.496
4.75,-20.818,0.776,-9.086,-6.029,-12.143
4.875,-24.423,-0.952,-10.822,-7.758,-13.886
5,-27.424,-3.526,-11.832,-8.763,-14.9
5.125,-23.179,-1.906,-11.641,-8.58,-14.703
5.25,-20.888,2.327,-10.69,-7.627,-13.753
5.375,-19.816,4.216,-9.777,-6.709,-12.846
5.5,-21.731,7.779,-9.115,-6.021,-12.209
5.625,-21.789,6.006,-8.381,-5.292,-11.471
5.75,-21.015,5.682,-7.468,-4.391,-10.545
5.875,-19.799,6.772,-6.549,-3.47,-9.628
6,-19.279,8.06,-5.717,-2.634,-8.8
6.125,-16.548,7.573,-5.141,-2.069,-8.212
6.25,-16.8,7.825,-5.125,-2.056,-8.195
6.375,-16.953,6.729,-5.634,-2.568,-8.701
6.5,-19.47,4.808,-6.118,-3.052,-9.183
6.625,-20.227,2.609,-6.053,-2.987,-9.119
6.75,-16.747,3.656,-5.609,-2.553,-8.665
6.875,-15.299,8.166,-5.602,-2.542,-8.662
7,-19.447,8.409,-6.806,-3.728,-9.883
7.125,-27.081,4.695,-9.281,-6.172,-12.389
7.25,-33.416,-0.894,-12.11,-9.006,-15.213
7.375,-33.494,-4.425,-14.079,-10.985,-17.173
7.5,-33.343,-1.648,-14.856,-11.754,-17.958
7.625,-33.114,0.783,-15.098,-11.973,-18.224
7.75,-32.781,0.599,-15.512,-12.389,-18.635
7.875,-31.24,-0.765,-16.259,-13.159,-19.36
8,-32.847,-1.077,-17.07,-13.97,-20.17
8.125,-32.602,-1.395,-17.633,-14.532,-20.734
8.25,-32.072,2.184,-18.012,-14.898,-21.125
8.375,-32.313,-0.001,-18.508,-15.403,-21.614
8.5,-38.127,-3.127,-19.163,-16.055,-22.272
8.625,-40.336,-5.914,-19.775,-16.643,-22.907
8.75,-43.598,-7.684,-20.265,-17.135,-23.395
8.875,-40.502,-7.809,-20.534,-17.416,-23.652
9,-37.036,-6.289,-20.458,-17.361,-23.555
9.125,-36.033,-5.787,-20.376,-17.281,-23.471
9.25,-38.408,-7.911,-20.933,-17.835,-24.031
9.375,-45.967,-11.287,-22.298,-19.192,-25.403
9.5,-52.669,-13.854,-24.028,-20.899,-27.158
9.625,-54.262,-14.742,-25.611,-22.467,-28.755
9.75,-53.092,-16.786,-26.829,-23.68,-29.978
9.875,-54.99,-17.955,-27.735,-24.574,-30.896
10,-58.691,-18.827,-28.441,-25.247,-31.635
10.125,-58.826,-17.939,-29.013,-25.83,-32.196
10.25,-59.024,-18.686,-29.547,-26.369,-32.724
10.375,-62.02,-19.872,-30.281,-27.096,-33.465
10.5,-64.006,-19.604,-31.476,-28.287,-34.664
10.625,-65.045,-19.671,-33.009,-29.83,-36.187
10.75,-62.403,-19.79,-34.349,-31.173,-37.525
10.875,-67.711,-20.725,-35.119,-31.924,-38.314
11,-68.611,-21.609,-35.719,-32.494,-38.943
11.125,-73.396,-20.362,-37.424,-34.165,-40.683
11.25,-73.994,-21.989,-41.617,-38.35,-44.885
11.375,-73.519,-23.058,-48.755,-45.484,-52.026
11.5,-77.341,-27.414,-57.34,-54.077,-60.603
11.625,-79.019,-29.143,-64.475,-61.217,-67.734
11.75,-79.813,-30.017,-68.616,-65.375,-71.857
11.875,-80.253,-33.876,-70.465,-67.255,-73.674
12,-80.456,-36.813,-71.302,-68.128,-74.476
12.125,-80.855,-40.717,-71.946,-68.799,-75.093
12.25,-82.367,-44.549,-72.715,-69.586,-75.845
12.375,-84.436,-49.098,-73.515,-70.4,-76.631
12.5,-84.664,-52.773,-74.051,-70.951,-77.151
12.625,-84.776,-56.271,-74.144,-71.056,-77.232
12.75,-84.762,-59.801,-73.904,-70.824,-76.984
12.875,-86.396,-60.679,-73.633,-70.558,-76.708
13,-85.898,-61.683,-73.555,-70.484,-76.626
13.125,-86.163,-62.077,-73.679,-70.611,-76.747
13.25,-86.35,-62.462,-73.862,-70.797,-76.927
13.375,-86.772,-63.18,-73.977,-70.912,-77.042
13.5,-86.948,-63.951,-74.071,-71.008,-77.135
13.625,-87.628,-64.468,-74.297,-71.233,-77.361
13.75,-87.964,-64.954,-74.699,-71.634,-77.763
13.875,-88.331,-64.912,-75.155,-72.091,-78.22
14,-88.506,-65.345,-75.488,-72.422,-78.553
14.125,-89.007,-65.693,-75.663,-72.597,-78.729
14.25,-89.966,-65.763,-75.842,-72.775,-78.909
14.375,-89.915,-66.621,-76.154,-73.086,-79.221
14.5,-90.45,-67.309,-76.563,-73.495,-79.63
14.625,-90.715,-67.146,-76.969,-73.901,-80.037
14.75,-90.88,-67.17,-77.327,-74.258,-80.397
14.875,-91.976,-67.21,-77.671,-74.601,-80.742
15,-92.582,-66.985,-78.045,-74.974,-81.117
15.125,-93.55,-67.452,-78.485,-75.412,-81.557
15.25,-94.31,-67.752,-79.03,-75.957,-82.104
15.375,-94.155,-67.96,-79.644,-76.571,-82.718
15.5,-94.589,-68.507,-80.216,-77.141,-83.29
15.625,-95.299,-68.95,-80.722,-77.646,-83.798
15.75,-95.925,-70.007,-81.174,-78.097,-84.252
15.875,-96.872,-70.788,-81.493,-78.415,-84.571
16,-97.24,-71.45,-81.665,-78.586,-84.744
16.125,-98.208,-71.844,-81.85,-78.77,-84.93
16.25,-98.007,-71.923,-82.196,-79.113,-85.278
16.375,-98.972,-72.462,-82.707,-79.622,-85.792
16.5,-100.422,-73.085,-83.298,-80.211,-86.386
16.625,-102.186,-73.287,-83.843,-80.753,-86.934
16.75,-103.743,-73.86,-84.247,-81.156,-87.338
16.875,-104.432,-73.784,-84.498,-81.405,-87.59
17,-104.929,-73.967,-84.601,-81.507,-87.696
17.125,-105.852,-74.048,-84.59,-81.494,-87.686
17.25,-106.584,-74.053,-84.601,-81.503,-87.699
17.375,-107.222,-74.435,-84.777,-81.676,-87.877
17.5,-107.821,-75,-85.128,-82.025,-88.231
17.625,-109.091,-75.359,-85.565,-82.458,-88.671
17.75,-110.036,-75.493,-86.012,-82.902,-89.122
17.875,-112.291,-75.497,-86.487,-83.373,-89.601
18,-111.983,-75.634,-87.08,-83.965,-90.196
18.125,-112.234,-76.04,-87.838,-84.72,-90.956
18.25,-113.703,-76.406,-88.734,-85.613,-91.854
18.375,-113.239,-76.928,-89.73,-86.608,-92.851
18.5,-113.777,-77.439,-90.693,-87.571,-93.816
18.625,-113.524,-77.825,-91.415,-88.292,-94.539
18.75,-114.021,-78.216,-91.87,-88.745,-94.995
18.875,-115.172,-78.627,-92.255,-89.128,-95.382
19,-115.853,-78.897,-92.748,-89.618,-95.877
19.125,-116.119,-79.078,-93.382,-90.25,-96.515
19.25,-116.165,-79.344,-94.107,-90.972,-97.242
19.375,-116.514,-79.511,-94.853,-91.716,-97.99
19.5,-117.756,-79.88,-95.546,-92.406,-98.685
19.625,-118.241,-80.416,-96.204,-93.063,-99.345
19.75,-118.357,-81.053,-97.055,-93.913,-100.197
19.875,-120.405,-81.456,-98.263,-95.12,-101.406
20,-121.147,-81.795,-99.607,-96.463,-102.751
20.125,-121.005,-82.139,-100.746,-97.602,-103.89
20.25,-120.988,-82.944,-101.625,-98.48,-104.77
20.375,-121.139,-83.47,-102.386,-99.242,-105.53
20.5,-121.902,-83.877,-103.07,-99.927,-106.213
20.625,-122.154,-84.445,-103.671,-100.529,-106.813
20.75,-122.114,-85.252,-104.437,-101.297,-107.577
20.875,-121.904,-85.172,-105.72,-102.581,-108.858
21,-121.682,-85.605,-107.319,-104.183,-110.454
21.125,-121.206,-86.194,-108.484,-105.351,-111.617
21.25,-121.433,-86.611,-108.855,-105.724,-111.985
21.375,-121.096,-86.842,-108.812,-105.685,-111.94
21.5,-120.931,-87.114,-108.782,-105.658,-111.907
21.625,-120.621,-87.491,-108.758,-105.636,-111.88
21.75,-120.269,-88.036,-108.631,-105.512,-111.75
21.875,-120.567,-88.555,-108.479,-105.362,-111.595
22,-121.519,-88.99,-108.418,-105.304,-111.533
22.125,-121.231,-89.11,-108.501,-105.388,-111.613
22.25,-121.047,-89.627,-108.743,-105.632,-111.853
22.375,-121.603,-89.902,-109.118,-106.01,-112.226
22.5,-121.111,-90.295,-109.54,-106.435,-112.646
22.625,-120.759,-90.553,-109.889,-106.786,-112.993
22.75,-120.814,-91.048,-110.058,-106.956,-113.159
22.875,-120.907,-91.406,-110.032,-106.933,-113.132
23,-121.15,-91.55,-109.905,-106.807,-113.003
23.125,-121.381,-91.694,-109.752,-106.655,-112.85
23.25,-120.846,-91.874,-109.589,-106.492,-112.686
23.375,-121.281,-92.081,-109.439,-106.343,-112.534
23.5,-121.509,-91.918,-109.303,-106.209,-112.397
23.625,-121.693,-91.629,-109.069,-105.976,-112.161
23.75,-121.681,-92.271,-108.558,-105.466,-111.649
23.875,-121.952,-91.945,-107.754,-104.662,-110.845
24,-121.973,-91.809,-106.947,-103.854,-110.039
24.125,-122.236,-92.281,-106.463,-103.37,-109.556
24.25,-121.634,-92.368,-106.311,-103.218,-109.404
24.375,-121.262,-92.304,-106.273,-103.181,-109.364
24.5,-121.65,-92.755,-106.176,-103.086,-109.266
24.625,-121.725,-92.436,-105.959,-102.869,-109.048
24.75,-120.84,-92.366,-105.656,-102.569,-108.743
24.875,-120.577,-92.254,-105.332,-102.247,-108.418
25,-119.588,-92.589,-105.002,-101.919,-108.084
25.125,-119.338,-92.24,-104.656,-101.576,-107.736
25.25,-118.933,-92.087,-104.291,-101.212,-107.371
25.375,-118.781,-92.187,-103.86,-100.782,-106.937
25.5,-118.595,-91.319,-103.341,-100.264,-106.419
25.625,-117.911,-91.558,-102.851,-99.776,-105.926
25.75,-116.891,-92.625,-102.527,-99.457,-105.596
25.875,-116.829,-92.444,-102.376,-99.308,-105.444
26,-115.826,-92.173,-102.3,-99.235,-105.364
26.125,-115.492,-91.737,-102.184,-99.12,-105.248
26.25,-115.026,-91.065,-101.975,-98.911,-105.039
26.375,-115.616,-91.952,-101.735,-98.673,-104.797
26.5,-116.352,-92.211,-101.601,-98.536,-104.666
26.625,-115.599,-91.378,-101.634,-98.569,-104.698
26.75,-115.545,-91.477,-101.764,-98.7,-104.827
26.875,-115.445,-91.456,-101.93,-98.868,-104.993
27,-115.301,-91.264,-102.162,-99.101,-105.223
27.125,-114.804,-91.82,-102.519,-99.459,-105.58
27.25,-114.563,-92.131,-103.029,-99.968,-106.089
27.375,-113.515,-92.051,-103.594,-100.535,-106.654
27.5,-113.904,-92.066,-104.023,-100.964,-107.082
27.625,-113.666,-92.083,-104.213,-101.152,-107.273
27.75,-113.507,-92.042,-104.209,-101.149,-107.269
27.875,-112.796,-91.801,-104.118,-101.061,-107.176
28,-113.791,-92.768,-104.072,-101.015,-107.13
28.125,-115.165,-92.962,-104.161,-101.104,-107.218
28.25,-114.572,-93.07,-104.368,-101.313,-107.424
28.375,-114.817,-93.399,-104.621,-101.566,-107.677
28.5,-114.113,-94.701,-104.809,-101.756,-107.863
28.625,-115.844,-94.768,-104.816,-101.761,-107.87
28.75,-114.356,-92.85,-104.655,-101.6,-107.709
28.875,-115.54,-94.073,-104.467,-101.41,-107.525
29,-116.298,-93.392,-104.324,-101.265,-107.384
29.125,-116.652,-92.617,-104.148,-101.087,-107.209
29.25,-115.929,-92.519,-103.823,-100.758,-106.889
29.375,-116.035,-92.03,-103.358,-100.293,-106.423
29.5,-115.471,-90.791,-102.897,-99.828,-105.967
29.625,-114.849,-89.03,-102.488,-99.416,-105.559
29.75,-113.481,-88.912,-101.891,-98.823,-104.96
29.875,-114.132,-88.073,-100.846,-97.772,-103.919
30,-114.921,-86.411,-99.442,-96.36,-102.524
30.125,-114.266,-85.382,-98.072,-94.986,-101.158
30.25,-113.14,-86.201,-97.065,-93.978,-100.153
30.375,-112.526,-84.43,-96.461,-93.378,-99.543
30.5,-110.328,-84.269,-96.067,-92.989,-99.146
30.625,-109.293,-82.824,-95.62,-92.54,-98.701
30.75,-109.22,-79.54,-94.812,-91.722,-97.902
30.875,-108.748,-79.82,-93.425,-90.336,-96.515
31,-107.564,-76.99,-91.632,-88.533,-94.73
31.125,-106.026,-75.396,-89.916,-86.814,-93.017
31.25,-103.702,-73.794,-88.61,-85.517,-91.703
31.375,-100.451,-72.543,-87.74,-84.659,-90.821
31.5,-99.515,-71.95,-87.168,-84.086,-90.251
31.625,-100.507,-70.644,-86.631,-83.542,-89.72
31.75,-100.167,-71.842,-85.913,-82.831,-88.994
31.875,-96.874,-71.952,-85.095,-82.021,-88.169
32,-97.019,-71.294,-84.43,-81.357,-87.503
32.125,-95.69,-70.999,-84.061,-80.992,-87.129
32.25,-97.843,-71.519,-83.986,-80.911,-87.061
32.375,-100.233,-70.206,-84.215,-81.127,-87.304
32.5,-97.946,-70.189,-84.788,-81.706,-87.871
32.625,-97.438,-70.465,-85.557,-82.474,-88.64
32.75,-97.664,-71.742,-86.126,-83.044,-89.208
32.875,-99.127,-71.478,-86.196,-83.11,-89.283
33,-98.492,-70.819,-85.786,-82.705,-88.868
33.125,-97.387,-73.992,-85.115,-82.048,-88.183
33.25,-98.883,-71.296,-84.474,-81.396,-87.551
33.375,-98.186,-71.684,-84.073,-81,-87.146
33.5,-97.961,-72.788,-83.944,-80.873,-87.015
33.625,-96.906,-72.329,-84.048,-80.975,-87.12
33.75,-97.571,-72.415,-84.411,-81.342,-87.481
33.875,-97.074,-72.561,-85.078,-82.007,-88.15
34,-96.873,-74.365,-86.027,-82.963,-89.091
34.125,-97.785,-74.388,-87.153,-84.086,-90.221
34.25,-98.218,-75.588,-88.243,-85.18,-91.306
34.375,-99.337,-75.607,-88.996,-85.933,-92.059
34.5,-99.991,-75.85,-89.179,-86.111,-92.247
34.625,-99.711,-74.234,-88.764,-85.694,-91.833
34.75,-99.634,-72.989,-87.883,-84.808,-90.959
34.875,-100.057,-69.654,-86.658,-83.562,-89.754
35,-98.161,-69.784,-85.191,-82.095,-88.287
35.125,-95.545,-68.032,-83.621,-80.53,-86.712
35.25,-93.874,-67.77,-81.985,-78.902,-85.068
35.375,-92.328,-66.958,-80.302,-77.229,-83.375
35.5,-90.185,-66.279,-78.756,-75.689,-81.823
35.625,-89.05,-66.034,-77.505,-74.441,-80.569
35.75,-88.812,-65.414,-76.552,-73.487,-79.616
35.875,-87.714,-65.014,-75.859,-72.799,-78.919
36,-86.676,-65.382,-75.364,-72.306,-78.423
36.125,-86.15,-63.84,-74.914,-71.852,-77.977
36.25,-86.377,-61.255,-74.373,-71.306,-77.44
36.375,-87.24,-61.475,-73.784,-70.714,-76.854
36.5,-85.801,-60.656,-73.333,-70.259,-76.406
36.625,-87.245,-59.307,-73.033,-69.95,-76.116
36.75,-87.196,-59.94,-72.665,-69.585,-75.745
36.875,-86.506,-59.184,-72.239,-69.157,-75.322
37,-88.285,-59.507,-72.191,-69.103,-75.279
37.125,-89.404,-60.493,-73.003,-69.91,-76.096
37.25,-92.52,-60.048,-74.798,-71.693,-77.903
37.375,-94.801,-61.278,-77.193,-74.084,-80.301
37.5,-96.704,-64.508,-79.662,-76.556,-82.767
37.625,-95.689,-65.657,-81.968,-78.868,-85.068
37.75,-97.074,-66.745,-83.953,-80.855,-87.05
37.875,-99.434,-70.542,-85.368,-82.284,-88.452
38,-99.911,-72.902,-86.234,-83.155,-89.312
38.125,-99.603,-73.441,-86.751,-83.674,-89.827
38.25,-99.621,-73.279,-86.877,-83.804,-89.949
38.375,-99.613,-72.78,-86.485,-83.41,-89.559
38.5,-98.577,-73.738,-85.677,-82.607,-88.747
38.625,-97.888,-73.305,-84.751,-81.681,-87.821
38.75,-96.001,-72.858,-84.096,-81.028,-87.163
38.875,-95.612,-72.083,-83.984,-80.92,-87.049
39,-96.254,-72.816,-84.261,-81.199,-87.324
39.125,-96.704,-72.915,-84.459,-81.396,-87.521
39.25,-95.855,-72.248,-84.365,-81.308,-87.422
39.375,-94.859,-73.568,-84.19,-81.134,-87.247
39.5,-94.827,-72.458,-84.143,-81.086,-87.2
39.625,-93.175,-72.857,-84.148,-81.093,-87.203
39.75,-94.145,-71.181,-84.002,-80.944,-87.061
39.875,-94.17,-72.235,-83.617,-80.558,-86.676
40,-94.149,-72.375,-83.108,-80.047,-86.17
40.125,-96.489,-72.519,-82.662,-79.594,-85.729
40.25,-95.538,-72.898,-82.339,-79.274,-85.404
40.375,-95.595,-70.175,-82.157,-79.083,-85.232
40.5,-94.936,-69.496,-82.127,-79.054,-85.2
40.625,-94.774,-68.11,-82.117,-79.037,-85.197
40.75,-95.796,-67.725,-81.917,-78.836,-84.999
40.875,-96.621,-66.819,-81.464,-78.376,-84.551
41,-94.464,-66.551,-80.951,-77.862,-84.041
41.125,-95.337,-65.845,-80.671,-77.58,-83.763
41.25,-96.008,-67.752,-80.783,-77.698,-83.867
41.375,-94.515,-66.938,-81.265,-78.176,-84.353
41.5,-95.579,-66.211,-81.953,-78.864,-85.042
41.625,-94.773,-67.918,-82.666,-79.586,-85.747
41.75,-94.911,-66.921,-83.274,-80.193,-86.354
41.875,-96.221,-67.172,-83.645,-80.556,-86.734
42,-95.487,-68.467,-83.8,-80.72,-86.88
42.125,-95.367,-68.589,-83.89,-80.811,-86.968
42.25,-95.365,-69.1,-83.903,-80.824,-86.983
42.375,-94.536,-66.807,-83.725,-80.642,-86.808
42.5,-94.796,-66.027,-83.385,-80.3,-86.469
42.625,-95.453,-66.806,-82.959,-79.873,-86.044
42.75,-93.775,-66.877,-82.446,-79.359,-85.533
42.875,-94.37,-64.392,-81.872,-78.78,-84.964
43,-93.761,-65.709,-81.365,-78.282,-84.447
43.125,-93.086,-66.952,-81.064,-77.983,-84.145
43.25,-92.573,-66.797,-80.998,-77.916,-84.079
43.375,-93.304,-67.755,-81.077,-77.994,-84.16
43.5,-93.87,-66.536,-81.139,-78.057,-84.222
43.625,-93.551,-67.5,-81.022,-77.944,-84.1
43.75,-94.189,-67.347,-80.661,-77.584,-83.737
43.875,-93.727,-67.794,-80.127,-77.053,-83.2
44,-93.516,-67.2,-79.54,-76.464,-82.616
44.125,-93.845,-67.893,-79.007,-75.932,-82.081
44.25,-93.451,-68.315,-78.65,-75.573,-81.727
44.375,-93.855,-66.617,-78.55,-75.471,-81.628
44.5,-91.708,-67.299,-78.642,-75.573,-81.71
44.625,-90.906,-67.013,-78.73,-75.66,-81.8
44.75,-89.518,-65.908,-78.632,-75.565,-81.7
44.875,-90.275,-66.766,-78.335,-75.271,-81.398
45,-88.69,-65.624,-77.915,-74.853,-80.978
45.125,-88.32,-64.452,-77.459,-74.392,-80.527
45.25,-89.982,-64.867,-77.08,-74.012,-80.148
45.375,-89.798,-62.211,-76.802,-73.725,-79.879
45.5,-89.006,-63.51,-76.499,-73.426,-79.571
45.625,-88.481,-63.756,-76.143,-73.068,-79.218
45.75,-90.663,-63.022,-76.048,-72.962,-79.135
45.875,-92.659,-63.498,-76.581,-73.491,-79.671
46,-91.041,-64.961,-77.612,-74.531,-80.693
46.125,-92.221,-62.93,-78.572,-75.485,-81.66
46.25,-93.259,-63.783,-79.076,-75.984,-82.168
46.375,-94.197,-63.139,-79.353,-76.259,-82.447
46.5,-94.859,-63.246,-80.018,-76.918,-83.118
46.625,-95.309,-64.818,-81.313,-78.214,-84.413
46.75,-93.823,-63.512,-82.712,-79.614,-85.81
46.875,-96.712,-67.231,-83.55,-80.457,-86.644
47,-97.335,-64.168,-83.841,-80.736,-86.947
47.125,-97.579,-68.152,-84.075,-80.98,-87.169
47.25,-99.345,-68.418,-84.481,-81.386,-87.575
47.375,-100.886,-67.866,-84.867,-81.769,-87.966
47.5,-98.078,-69.639,-85.09,-82.001,-88.178
47.625,-99.578,-70.968,-85.328,-82.24,-88.417
47.75,-102.298,-69.552,-85.76,-82.659,-88.86
47.875,-100.504,-70.071,-86.177,-83.083,-89.27
48,-101.065,-70.985,-86.19,-83.103,-89.277
48.125,-102.685,-70.147,-85.71,-82.613,-88.807
48.25,-101.14,-70.661,-84.962,-81.867,-88.058
48.375,-100.825,-70.22,-84.12,-81.024,-87.216
48.5,-101.153,-68.999,-83.21,-80.11,-86.311
48.625,-99.561,-70.08,-82.35,-79.252,-85.448
48.75,-99.015,-67.791,-81.7,-78.602,-84.799
48.875,-100.283,-67.08,-81.243,-78.148,-84.339
49,-98.224,-66.049,-80.932,-77.836,-84.027
49.125,-96.514,-67,-80.793,-77.702,-83.884
49.25,-96.611,-65.117,-80.697,-77.602,-83.793
49.375,-93.071,-64.389,-80.366,-77.281,-83.451
49.5,-95.504,-64.861,-79.677,-76.583,-82.771
49.625,-91.871,-63.441,-78.747,-75.663,-81.83
49.75,-90.981,-63.267,-77.792,-74.709,-80.874
49.875,-91,-60.736,-77.058,-73.969,-80.148
50,-91.249,-61.861,-76.707,-73.622,-79.793
50.125,-87.698,-61.765,-76.671,-73.588,-79.755
50.25,-88.253,-61.489,-76.667,-73.579,-79.755
50.375,-88.111,-58.756,-76.407,-73.31,-79.505
50.5,-89.053,-57.958,-75.855,-72.761,-78.949
50.625,-87.783,-57.237,-75.184,-72.09,-78.279
50.75,-85.064,-54.363,-74.523,-71.431,-77.615
50.875,-86.18,-56.386,-73.912,-70.823,-77
51,-86.069,-51.642,-73.423,-70.315,-76.531
51.125,-85.346,-51.391,-73.079,-69.974,-76.184
51.25,-85.875,-52.299,-72.729,-69.619,-75.84
51.375,-85.367,-49.477,-72.251,-69.133,-75.369
51.5,-84.319,-49.944,-71.754,-68.636,-74.871
51.625,-84.402,-47.224,-71.351,-68.226,-74.475
51.75,-84.739,-47.281,-70.883,-67.763,-74.002
51.875,-85.091,-44.813,-70.249,-67.111,-73.387
52,-82.726,-44.827,-69.768,-66.639,-72.898
52.125,-83.261,-46.05,-69.709,-66.58,-72.838
52.25,-82.703,-42.085,-69.855,-66.713,-72.997
52.375,-81.829,-41.726,-69.913,-66.772,-73.054
52.5,-84.677,-42.413,-69.865,-66.715,-73.016
52.625,-86.302,-42.82,-69.741,-66.579,-72.902
52.75,-84.621,-42.656,-69.584,-66.415,-72.752
52.875,-84.3,-43.611,-69.59,-66.44,-72.741
53,-84.597,-43.407,-69.842,-66.701,-72.982
53.125,-86.043,-43.983,-70.124,-66.977,-73.271
53.25,-85.913,-44.366,-70.262,-67.122,-73.403
53.375,-87.102,-47.527,-70.429,-67.291,-73.566
53.5,-86.548,-48.24,-70.856,-67.727,-73.984
53.625,-86.788,-46.09,-71.397,-68.248,-74.545
53.75,-87.472,-47.264,-71.68,-68.532,-74.828
53.875,-87.121,-47.922,-71.64,-68.496,-74.783
54,-88.738,-47.513,-71.652,-68.513,-74.792
54.125,-87.298,-50.733,-72.009,-68.882,-75.136
54.25,-88.746,-53.892,-72.478,-69.365,-75.591
54.375,-86.192,-50.827,-72.653,-69.54,-75.765
54.5,-88.806,-50.477,-72.477,-69.343,-75.611
54.625,-89.849,-53.402,-72.282,-69.163,-75.402
54.75,-88.854,-56.841,-72.504,-69.396,-75.612
54.875,-87.862,-54.524,-73.268,-70.147,-76.389
55,-88.74,-56.39,-74.176,-71.061,-77.291
55.125,-90.905,-56.382,-74.68,-71.56,-77.8
55.25,-89.851,-56.48,-74.545,-71.435,-77.655
55.375,-89.704,-55.868,-73.894,-70.78,-77.009
55.5,-89.265,-55.823,-73.073,-69.966,-76.181
55.625,-90.308,-54.704,-72.502,-69.385,-75.62
55.75,-91.693,-55.505,-72.434,-69.315,-75.553
55.875,-91.1,-55.635,-72.715,-69.597,-75.834
56,-88.844,-53.895,-72.952,-69.839,-76.066
56.125,-92.621,-55.382,-72.983,-69.858,-76.107
56.25,-90.012,-55.621,-72.871,-69.753,-75.989
56.375,-89.667,-54.159,-72.641,-69.521,-75.761
56.5,-88.902,-53.197,-72.35,-69.228,-75.472
56.625,-90.51,-55.834,-72.092,-68.976,-75.208
56.75,-89.584,-54.475,-71.803,-68.685,-74.921
56.875,-89.974,-52.484,-71.373,-68.24,-74.505
57,-90.992,-52.838,-70.891,-67.761,-74.02
57.125,-88.646,-52.979,-70.571,-67.449,-73.694
57.25,-89.364,-51.782,-70.357,-67.224,-73.49
57.375,-85.778,-53.278,-69.876,-66.764,-72.988
57.5,-87.594,-53.157,-68.956,-65.845,-72.067
57.625,-85.577,-53.123,-67.824,-64.719,-70.928
57.75,-84.255,-52.105,-66.777,-63.672,-69.882
57.875,-83.269,-50.542,-65.97,-62.865,-69.074
58,-85.354,-50.374,-65.535,-62.424,-68.647
58.125,-83.115,-52.515,-65.592,-62.495,-68.689
58.25,-84.117,-53.304,-65.964,-62.868,-69.059
58.375,-81.966,-51.039,-66.284,-63.194,-69.374
58.5,-80.457,-52.661,-66.412,-63.332,-69.492
58.625,-80.073,-52.676,-66.427,-63.35,-69.505
58.75,-80.592,-52.939,-66.439,-63.359,-69.518
58.875,-79.175,-53.047,-66.591,-63.509,-69.673
59,-80.024,-52.064,-66.925,-63.837,-70.014
59.125,-81.278,-51.62,-67.263,-64.172,-70.353
59.25,-82.326,-52.34,-67.509,-64.415,-70.603
59.375,-82.749,-53.16,-67.757,-64.668,-70.847
59.5,-86.096,-52.476,-67.999,-64.899,-71.099
59.625,-83.899,-52.178,-68.111,-65.012,-71.21
59.75,-89.476,-53.129,-68.144,-65.034,-71.255
59.875,-86.737,-51.879,-68.292,-65.185,-71.4
60,-89.017,-53.591,-68.607,-65.493,-71.721
60.125,-88.767,-52.853,-68.984,-65.868,-72.1
60.25,-91.415,-53.647,-69.303,-66.178,-72.428
60.375,-90.778,-54.223,-69.471,-66.339,-72.602
60.5,-94.247,-56.573,-69.479,-66.333,-72.625
60.625,-98.504,-54.994,-69.528,-66.366,-72.69
60.75,-95.76,-54.696,-69.786,-66.635,-72.937
60.875,-100.095,-54.058,-70.102,-66.921,-73.282
